Nodos Aristas Frontera |CMF| Segundos
3500 3500 2 1 0.00590300000000000
3500 3500 2 1 0.00602600000000000
3500 3500 2 1 0.00595600000000000
3500 3500 2 1 0.00597600000000000
3500 3500 2 1 0.00584400000000000
3500 3500 2 1 0.00600900000000000
3500 3500 2 1 0.00602700000000000
3500 3500 2 1 0.00599200000000000
3500 3500 2 1 0.00520800000000000
3500 3500 2 1 0.00237500000000000
4000 4000 2 1 0.00400500000000000
4000 4000 2 1 0.00401800000000000
4000 4000 2 1 0.00416600000000000
4000 4000 2 1 0.00421000000000000
4000 4000 2 1 0.00394400000000000
4000 4000 2 1 0.00412000000000000
4000 4000 2 1 0.00387800000000000
4000 4000 2 1 0.00389800000000000
4000 4000 2 1 0.00412000000000000
4000 4000 2 1 0.00423700000000000
4500 4500 2 1 0.00422300000000000
4500 4500 2 1 0.00395600000000000
4500 4500 2 1 0.00398800000000000
4500 4500 2 1 0.00411300000000000
4500 4500 2 1 0.00682500000000000
5000 5000 2 1 0.00281600000000000
4500 4500 2 1 0.00474100000000000
4500 4500 2 1 0.00448300000000000
4500 4500 2 1 0.00467300000000000
4500 4500 2 1 0.00470900000000000
4500 4500 2 1 0.00473500000000000
5000 5000 2 1 0.00423100000000000
5000 5000 2 1 0.00418400000000000
5000 5000 2 1 0.00405800000000000
5000 5000 2 1 0.00433200000000000
5000 5000 2 1 0.00453300000000000
5000 5000 2 1 0.00406300000000000
5000 5000 2 1 0.00381400000000000
5000 5000 2 1 0.00376300000000000
5000 5000 2 1 0.00409700000000000
5500 5500 2 1 0.00691900000000000
5500 5500 2 1 0.00388100000000000
5500 5500 2 1 0.00563200000000000
5500 5500 2 1 0.00539300000000000
5500 5500 2 1 0.00600900000000000
5500 5500 2 1 0.00564100000000000
5500 5500 2 1 0.00487900000000000
5500 5500 2 1 0.00470300000000000
5500 5500 2 1 0.00465700000000000
5500 5500 2 1 0.00467200000000000
6500 6500 2 1 0.00559600000000000
6500 6500 2 1 0.00614300000000000
6000 6000 2 1 0.00505800000000000
6000 6000 2 1 0.00577200000000000
6000 6000 2 1 0.00548600000000000
6000 6000 2 1 0.00582300000000000
6000 6000 2 1 0.00563100000000000
6000 6000 2 1 0.00841300000000000
6000 6000 2 1 0.00521200000000000
6000 6000 2 1 0.00541500000000000
6000 6000 2 1 0.00506800000000000
6000 6000 2 1 0.00521100000000000
6500 6500 2 1 0.00571000000000000
6500 6500 2 1 0.00550200000000000
6500 6500 2 1 0.00553600000000000
6500 6500 2 1 0.00511700000000000
6500 6500 2 1 0.00593800000000000
6500 6500 2 1 0.00589000000000000
6500 6500 2 1 0.00582900000000000
6500 6500 2 1 0.00638800000000000
7000 7000 2 1 0.00529700000000000
7000 7000 2 1 0.00511500000000000
7000 7000 2 1 0.00557200000000000
7000 7000 2 1 0.00551600000000000
7000 7000 2 1 0.00507600000000000
7000 7000 2 1 0.00650700000000000
7000 7000 2 1 0.00544200000000000
7000 7000 2 1 0.00527500000000000
7000 7000 2 1 0.00522600000000000
7000 7000 2 1 0.00507900000000000
7500 7500 2 1 0.00624100000000000
7500 7500 2 1 0.01065700000000000
7500 7500 2 1 0.01114600000000000
7500 7500 2 1 0.01067900000000000
7500 7500 2 1 0.00578900000000000
7500 7500 2 1 0.00596700000000000
7500 7500 2 1 0.00623800000000000
7500 7500 2 1 0.00625400000000000
7500 7500 2 1 0.00672800000000000
7500 7500 2 1 0.00545100000000000
8000 8000 2 1 0.00728200000000000
8000 8000 2 1 0.00702800000000000
8000 8000 2 1 0.00863600000000000
8000 8000 2 1 0.00806500000000000
8000 8000 2 1 0.00581500000000000
8000 8000 2 1 0.00669800000000000
8000 8000 2 1 0.00718400000000000
8000 8000 2 1 0.00737000000000000
8000 8000 2 1 0.00609800000000000
8000 8000 2 1 0.00788800000000000
8500 8500 2 1 0.00620100000000000
8500 8500 2 1 0.00651500000000000
8500 8500 2 1 0.00657200000000000
8500 8500 2 1 0.00704300000000000
8500 8500 2 1 0.00593600000000000
8500 8500 2 1 0.00621000000000000
8500 8500 2 1 0.00672900000000000
8500 8500 2 1 0.00594800000000000
8500 8500 2 1 0.00692100000000000
8500 8500 2 1 0.00706000000000000
9000 9000 2 1 0.00711200000000000
9000 9000 2 1 0.00831200000000000
9000 9000 2 1 0.00839800000000000
9000 9000 2 1 0.00825200000000000
9000 9000 2 1 0.00742000000000000
9000 9000 2 1 0.00861800000000000
9000 9000 2 1 0.00842000000000000
9000 9000 2 1 0.00836700000000000
9000 9000 2 1 0.00637700000000000
9000 9000 2 1 0.00638400000000000
9500 9500 2 1 0.00719700000000000
9500 9500 2 1 0.00771600000000000
9500 9500 2 1 0.00646800000000000
9500 9500 2 1 0.00638400000000000
9500 9500 2 1 0.00675600000000000
9500 9500 2 1 0.00560200000000000
9500 9500 2 1 0.00505300000000000
9500 9500 2 1 0.00507600000000000
10000 10000 2 1 0.00729100000000000
10000 10000 2 1 0.00756300000000000
10000 10000 2 1 0.00568800000000000
10000 10000 2 1 0.00525500000000000
9500 9500 2 1 0.00500900000000000
9500 9500 2 1 0.00963400000000000
10000 10000 2 1 0.00351300000000000
10000 10000 2 1 0.00475300000000000
10000 10000 2 1 0.00403700000000000
10000 10000 2 1 0.00517800000000000
10000 10000 2 1 0.00255700000000000
10000 10000 2 1 0.00242800000000000
