Nodos Aristas Frontera |CMF| Segundos
3500 375200 982 4 0.10392000000000000
4000 332309 760 4 0.08530300000000000
4000 441048 984 4 0.12001600000000000
3500 521942 1648 5 0.14250499999999999
3500 700840 2157 5 0.20069600000000001
3500 808488 2470 5 0.22797400000000001
3500 887453 3230 6 0.26275599999999999
4000 909883 2439 5 0.26442700000000002
4000 925074 2503 5 0.25297300000000000
3500 1037303 3740 6 0.24606400000000000
5000 66225 106 3 0.01561500000000000
3500 1911293 10221 9 0.58395699999999995
4500 749548 1819 5 0.17566599999999999
4500 1158262 2774 5 0.34146100000000001
3500 1272577 4619 6 0.39667400000000003
4000 1247974 3967 6 0.35726200000000002
3500 1406642 5960 7 0.35213299999999997
5000 697195 1234 4 0.15571299999999999
4000 1669693 6100 7 0.48223600000000000
4000 1728136 6392 7 0.51554000000000000
4000 1748679 6394 7 0.48050700000000002
5000 772089 1411 4 0.17093800000000001
4500 1794102 5136 6 0.47703499999999999
4000 1924810 8045 8 0.47927399999999998
3500 2011809 10638 9 0.60814000000000001
4500 1641788 4669 6 0.47121600000000002
4000 2240623 8230 7 0.66182300000000005
4500 2196909 6200 6 0.55856899999999998
4500 2020280 6618 7 0.54421500000000000
4500 2943876 10900 8 0.81973499999999999
5000 2442818 6155 6 0.53852199999999995
4500 3110955 12975 9 0.93683000000000005
5000 2876705 8524 7 0.72623099999999996
4500 2991655 11075 8 0.71467700000000001
4500 3296109 13625 9 0.89449500000000004
5000 2959504 9762 8 0.64307700000000001
5000 3033739 10018 8 0.69135500000000005
5000 4058992 15179 9 1.07479300000000011
5000 3705136 12335 8 0.86491899999999999
5000 3707275 12503 8 0.86376100000000000
