Nodos Aristas Frontera |CMF| Segundos
3500 183363 1122 2 0.21873400000000001
4000 285439 443 2 0.09452400000000000
3500 433875 3498 2 0.55245699999999998
4000 486736 1032 2 0.25195200000000001
4500 398641 4336 2 1.03807399999999994
4000 608411 773 2 0.14362400000000000
3500 670594 1909 2 0.34432099999999999
4500 569248 4102 2 0.96987000000000001
4500 775484 882 2 0.22239900000000001
3500 907074 2660 2 0.58494000000000002
4000 1114098 2283 2 0.58166099999999998
4000 1265167 2607 2 0.61883800000000000
3500 1422066 1878 2 0.41620800000000002
3500 1443321 1863 2 0.38745099999999999
5000 93608 392 2 0.06722700000000000
5000 416956 1148 2 0.26829900000000001
3500 1899478 2476 2 0.58633800000000003
5000 1063276 4998 2 1.32572000000000001
3500 2211789 2744 2 0.60263800000000001
4500 1738548 2861 2 0.80639899999999998
3500 2245351 2790 2 0.64449999999999996
4500 1672000 1644 2 0.40729599999999999
5000 1464380 1721 2 0.46616800000000003
4000 2524664 2758 2 0.64801699999999995
4500 2274923 3589 2 0.98397500000000004
4000 2723325 2985 2 0.70671399999999995
5000 2110290 4377 2 1.05125899999999994
4000 3076534 3272 2 0.84869399999999995
5000 2616935 2546 2 0.65156300000000000
4500 1290604 1796 2 0.75824800000000003
5000 2062626 2298 2 0.65066199999999996
5000 2641829 3084 2 0.79827400000000004
4500 2784035 2800 2 0.77717199999999997
5000 2096141 1851 2 0.52595499999999995
4500 3235685 4310 2 1.00380099999999994
4000 3848718 3948 2 0.89479600000000004
5000 3792365 4978 2 1.11030600000000002
4500 4409102 4132 2 1.01849999999999996
4000 2031271 2757 2 0.62062899999999999
3500 2303788 2971 2 0.72382899999999994
