Nodos Aristas Frontera |CMF| Segundos
3500 3500 2 2 0.00527400000000000
4500 4500 2 2 0.00435800000000000
4500 4500 2 2 0.00101600000000000
4500 4500 2 2 0.00101300000000000
4500 4500 2 2 0.00102800000000000
4500 4500 2 2 0.00101900000000000
4500 4500 2 2 0.00101100000000000
5000 5000 2 2 0.00470600000000000
5000 5000 2 2 0.00117800000000000
3500 3500 2 2 0.00462500000000000
3500 3500 2 2 0.00468300000000000
3500 3500 2 2 0.00485900000000000
3500 3500 2 2 0.00441300000000000
3500 3500 2 2 0.00454100000000000
3500 3500 2 2 0.00457200000000000
3500 3500 2 2 0.00460400000000000
3500 3500 2 2 0.00465900000000000
3500 3500 2 2 0.00444600000000000
5000 5000 2 2 0.00128500000000000
5000 5000 2 2 0.00111300000000000
5500 5500 2 2 0.00452800000000000
4000 4000 2 2 0.00422300000000000
4000 4000 2 2 0.00408700000000000
4000 4000 2 2 0.00429700000000000
4000 4000 2 2 0.00416000000000000
4000 4000 2 2 0.00406900000000000
4000 4000 2 2 0.00395400000000000
4000 4000 2 2 0.00416600000000000
4000 4000 2 2 0.00389900000000000
4000 4000 2 2 0.00406000000000000
4000 4000 2 2 0.00416300000000000
4500 4500 2 2 0.00707900000000000
4500 4500 2 2 0.00712700000000000
4500 4500 2 2 0.00700700000000000
4500 4500 2 2 0.00705000000000000
5000 5000 2 2 0.00500700000000000
5000 5000 2 2 0.00525300000000000
5000 5000 2 2 0.00499500000000000
5000 5000 2 2 0.00523200000000000
5000 5000 2 2 0.00513700000000000
5000 5000 2 2 0.01174300000000000
5500 5500 2 2 0.00675000000000000
5500 5500 2 2 0.00584300000000000
5500 5500 2 2 0.00581500000000000
5500 5500 2 2 0.00585500000000000
5500 5500 2 2 0.00529800000000000
5500 5500 2 2 0.00513000000000000
6500 6500 2 2 0.00451900000000000
5500 5500 2 2 0.00517400000000000
5500 5500 2 2 0.01234500000000000
5500 5500 2 2 0.00484300000000000
6000 6000 2 2 0.00549300000000000
6000 6000 2 2 0.00545100000000000
6000 6000 2 2 0.00520800000000000
6000 6000 2 2 0.00552700000000000
6000 6000 2 2 0.00552900000000000
6000 6000 2 2 0.00512600000000000
6000 6000 2 2 0.00534800000000000
6000 6000 2 2 0.00551400000000000
6000 6000 2 2 0.00541900000000000
6000 6000 2 2 0.00535100000000000
6500 6500 2 2 0.00558700000000000
6500 6500 2 2 0.00548900000000000
6500 6500 2 2 0.00537700000000000
6500 6500 2 2 0.00518800000000000
6500 6500 2 2 0.00546900000000000
6500 6500 2 2 0.00563300000000000
6500 6500 2 2 0.00561700000000000
7000 7000 2 2 0.00479400000000000
6500 6500 2 2 0.00540700000000000
6500 6500 2 2 0.00502100000000000
7000 7000 2 2 0.00568000000000000
7000 7000 2 2 0.00558800000000000
7000 7000 2 2 0.01162800000000000
7000 7000 2 2 0.00494100000000000
7000 7000 2 2 0.00578200000000000
7000 7000 2 2 0.00607300000000000
7000 7000 2 2 0.00538600000000000
7000 7000 2 2 0.00586700000000000
7000 7000 2 2 0.00605400000000000
7500 7500 2 2 0.00616000000000000
7500 7500 2 2 0.00626600000000000
7500 7500 2 2 0.00643400000000000
7500 7500 2 2 0.00662000000000000
7500 7500 2 2 0.00593300000000000
7500 7500 2 2 0.00610300000000000
7500 7500 2 2 0.00635200000000000
7500 7500 2 2 0.00659300000000000
7500 7500 2 2 0.00584300000000000
7500 7500 2 2 0.00587900000000000
8000 8000 2 2 0.00669700000000000
8000 8000 2 2 0.00675800000000000
8000 8000 2 2 0.00664200000000000
8000 8000 2 2 0.00633700000000000
8000 8000 2 2 0.00595600000000000
8000 8000 2 2 0.00659100000000000
8000 8000 2 2 0.00659600000000000
8000 8000 2 2 0.01323300000000000
8000 8000 2 2 0.01272500000000000
8000 8000 2 2 0.00676400000000000
8500 8500 2 2 0.00764100000000000
8500 8500 2 2 0.00675300000000000
8500 8500 2 2 0.00707300000000000
8500 8500 2 2 0.00791500000000000
8500 8500 2 2 0.00599800000000000
8500 8500 2 2 0.00636100000000000
8500 8500 2 2 0.00631700000000000
8500 8500 2 2 0.00643800000000000
9000 9000 2 2 0.00584300000000000
8500 8500 2 2 0.00594000000000000
8500 8500 2 2 0.00635800000000000
9000 9000 2 2 0.00734200000000000
9000 9000 2 2 0.00719900000000000
9000 9000 2 2 0.00727100000000000
9000 9000 2 2 0.00748400000000000
9000 9000 2 2 0.01069200000000000
9000 9000 2 2 0.01069000000000000
9000 9000 2 2 0.00762900000000000
9000 9000 2 2 0.00677700000000000
9000 9000 2 2 0.00733000000000000
9500 9500 2 2 0.00694900000000000
9500 9500 2 2 0.01133300000000000
9500 9500 2 2 0.01043100000000000
9500 9500 2 2 0.00634600000000000
9500 9500 2 2 0.00584100000000000
9500 9500 2 2 0.00572300000000000
9500 9500 2 2 0.00606500000000000
9500 9500 2 2 0.00590400000000000
9500 9500 2 2 0.00495100000000000
9500 9500 2 2 0.00493500000000000
10000 10000 2 2 0.00742000000000000
10000 10000 2 2 0.00447500000000000
10000 10000 2 2 0.00475800000000000
10000 10000 2 2 0.00455100000000000
10000 10000 2 2 0.00402900000000000
10000 10000 2 2 0.00231500000000000
10000 10000 2 2 0.00230200000000000
10000 10000 2 2 0.00229000000000000
10000 10000 2 2 0.00272000000000000
10000 10000 2 2 0.00263100000000000
