Nodos Aristas Frontera |CMF| Segundos
3500 3499 4 2 0.00446500000000000
3500 3499 7 2 0.00500500000000000
3500 3499 5 2 0.00473500000000000
3500 3499 12 2 0.01534100000000000
3500 3499 6 2 0.01633500000000000
3500 3499 12 2 0.01718000000000000
3500 3499 8 2 0.01957400000000000
3500 3499 12 2 0.01981700000000000
3500 3499 16 2 0.01992500000000000
3500 3499 21 2 0.02017400000000000
4000 3999 6 2 0.00415100000000000
4000 3999 8 2 0.00345700000000000
4000 3999 18 2 0.00524900000000000
4000 3999 8 2 0.00599600000000000
4000 3999 3 2 0.00578500000000000
4000 3999 7 2 0.00326200000000000
4000 3999 15 2 0.00384900000000000
4000 3999 10 2 0.00575600000000000
4000 3999 8 2 0.00584200000000000
4000 3999 19 2 0.01556200000000000
4500 4499 5 2 0.00197000000000000
4500 4499 9 2 0.00304000000000000
4500 4499 13 2 0.00917700000000000
4500 4499 3 1 0.01604900000000000
4500 4499 12 2 0.02512100000000000
4500 4499 7 2 0.00403500000000000
4500 4499 7 2 0.00411900000000000
4500 4499 7 2 0.00333600000000000
4500 4499 16 2 0.00368300000000000
5000 4999 17 2 0.00360600000000000
4500 4499 6 2 0.01095000000000000
5000 4999 9 2 0.00253700000000000
5000 4999 11 2 0.00256900000000000
5000 4999 12 2 0.00255700000000000
5000 4999 21 2 0.00372800000000000
5000 4999 8 2 0.00115900000000000
5000 4999 16 2 0.00150000000000000
5000 4999 9 2 0.00121100000000000
5000 4999 4 2 0.00760000000000000
5000 4999 9 2 0.00127400000000000
