Nodos Aristas Frontera |CMF| Segundos
4000 683959 3998 2 0.57294699999999998
3500 968691 3498 2 0.47808200000000001
3500 1034724 3498 2 0.45735999999999999
3500 1065931 3498 2 0.42816700000000002
3500 1288276 3498 2 0.42779000000000000
3500 1436875 3498 2 0.40910999999999997
4500 546875 4498 2 0.73844600000000005
4500 521339 4498 2 0.73213600000000001
4500 1569339 4498 2 0.79437400000000002
3500 3058011 3498 2 0.40520200000000001
5000 149100 4998 2 0.78399799999999997
4000 1853775 3998 2 0.59914400000000001
3500 2125476 3498 2 0.43847700000000001
3500 2585019 3498 2 0.48301500000000003
3500 2710851 3498 2 0.49482500000000001
3500 2876739 3498 2 0.44210500000000003
4000 3173719 3998 2 0.61748899999999995
4000 3345519 3998 2 0.64196399999999998
4000 3358399 3998 2 0.63199000000000005
4000 3613116 3998 2 0.54164699999999999
4000 3761856 3998 2 0.60705600000000004
4000 3745984 3998 2 0.60399300000000000
5000 3243244 4998 2 0.90960700000000005
4000 3847119 3998 2 0.60988200000000004
4000 3968671 3998 2 0.52578100000000005
4500 4140900 4498 2 0.72678900000000002
5000 2486400 4998 2 1.01471299999999998
5000 3481104 4998 2 0.69897299999999996
5000 1998156 4998 2 0.96150700000000000
4500 4268619 4498 2 0.63377099999999997
4500 4203171 4498 2 0.55376400000000003
5000 3319056 4998 2 0.94997500000000001
4500 5013659 4498 2 0.72103499999999998
4500 5045076 4498 2 0.70699299999999998
4500 4780539 4498 2 0.59001000000000003
4500 5060736 4498 2 0.57681700000000002
5000 5265936 4998 2 0.69497200000000003
5000 6249039 4998 2 0.67608000000000001
5000 5969100 4998 2 0.80658700000000005
5000 6156364 4998 2 0.82533500000000004
