Nodos Aristas Frontera |CMF| Segundos
4500 7490841 87710 26 2.67131300000000005
3500 4542999 70846 27 1.73634400000000011
3500 4572736 73906 28 1.67193799999999992
3500 4794415 91122 33 1.82703400000000005
3500 5301281 151902 50 2.43188599999999999
4000 5869820 80093 27 2.09517299999999995
4000 6215014 100358 32 2.29175500000000021
4500 6868362 68340 22 2.45605500000000010
4000 7212961 243915 68 3.71058900000000014
4500 7546209 98580 29 2.78571999999999997
4500 7828469 115649 33 3.00044300000000019
5000 8378002 75017 22 3.05423400000000012
5000 8749880 81679 23 2.93792000000000009
3500 6002456 991353 316 12.68332900000000052
5000 10096889 158641 39 3.70641199999999982
5000 10191113 156104 38 3.78809199999999979
5000 10345558 170632 41 3.94026299999999985
4000 7743615 730187 197 9.24191599999999980
4000 7791757 887603 241 11.29246999999999979
4500 9676847 608472 145 8.30969200000000008
