Nodos Aristas Frontera |CMF| Segundos
4000 3999 30 1 0.00510500000000000
4000 3999 30 1 0.00499500000000000
4000 3999 30 1 0.00514500000000000
4000 3999 30 1 0.00501600000000000
4000 3999 30 1 0.00507300000000000
4000 3999 30 1 0.00504400000000000
4000 3999 30 1 0.00463400000000000
4500 4499 10 1 0.00227800000000000
4500 4499 10 1 0.00221100000000000
4500 4499 10 1 0.00315400000000000
4500 4499 10 1 0.00282600000000000
4500 4499 10 1 0.00248900000000000
4500 4499 10 1 0.00246400000000000
4500 4499 10 1 0.00217500000000000
4500 4499 408 1 0.10615700000000000
4000 3999 30 1 0.02370700000000000
4500 4499 10 1 0.00690300000000000
4500 4499 10 1 0.01010400000000000
4000 3999 30 1 0.02342200000000000
4000 3999 30 1 0.03416100000000000
5500 5499 12 1 0.01126700000000000
3500 3499 3498 1 0.71586200000000000
3500 3499 3498 1 0.74068900000000004
5500 5499 8 1 0.00141500000000000
3500 3499 3498 1 0.74297599999999997
3500 3499 3498 1 0.74408700000000005
3500 3499 3498 1 0.74411499999999997
3500 3499 3498 1 0.77509799999999995
5500 5499 8 1 0.01138500000000000
3500 3499 3498 1 0.79406600000000005
3500 3499 3498 1 0.79867100000000002
3500 3499 3498 1 0.80228400000000000
5500 5499 12 1 0.00330900000000000
5500 5499 8 1 0.00270400000000000
5500 5499 1833 2 0.02622400000000000
6000 5999 6 1 0.00230500000000000
6000 5999 6 1 0.00230600000000000
6000 5999 857 2 0.03124600000000000
6000 5999 6 1 0.01223200000000000
6500 6499 66 1 0.01217900000000000
6500 6499 66 1 0.01241600000000000
6500 6499 97 2 0.00127100000000000
6500 6499 66 1 0.01221300000000000
5500 5499 1833 2 0.42058899999999999
5500 5499 422 1 0.50975700000000002
6500 6499 66 1 0.01179800000000000
6500 6499 66 1 0.01183500000000000
6500 6499 66 1 0.01240800000000000
5500 5499 1833 2 0.42242700000000000
6500 6499 66 1 0.01254400000000000
6500 6499 66 1 0.01208400000000000
6500 6499 66 1 0.01327200000000000
5500 5499 1833 2 0.57602900000000001
6000 5999 6 1 0.01270600000000000
6000 5999 856 1 0.28111700000000001
6000 5999 856 1 0.28451500000000002
6000 5999 856 1 0.28192400000000001
6000 5999 856 1 0.27938200000000002
7000 6999 2333 2 0.05702200000000000
5000 4999 4998 1 1.76913499999999990
5000 4999 4998 1 1.77590300000000001
5000 4999 4998 1 1.76426100000000008
5000 4999 4998 1 1.76966599999999996
5000 4999 4998 1 1.76977899999999999
5000 4999 4998 1 1.84178099999999989
5000 4999 4998 1 1.79390300000000003
5000 4999 4998 1 1.83577300000000010
6000 5999 856 1 0.90917400000000004
5000 4999 4998 1 1.78563800000000006
7000 6999 2333 2 0.74560300000000002
7000 6999 2333 2 0.75205200000000005
8000 7999 18 1 0.01573300000000000
7000 6999 2332 1 1.13441600000000009
8000 7999 18 1 0.00532800000000000
8000 7999 18 1 0.00493000000000000
8000 7999 18 1 0.00450400000000000
7000 6999 2332 1 1.12825899999999990
8000 7999 18 1 0.00564800000000000
7000 6999 2332 1 1.12084999999999990
8000 7999 18 1 0.00537500000000000
8000 7999 18 1 0.00497100000000000
7000 6999 2332 1 1.13236599999999998
7000 6999 2332 1 1.12833500000000009
8000 7999 18 1 0.00471500000000000
7000 6999 2332 1 1.14580299999999990
8000 7999 18 1 0.02055100000000000
3500 3499 3498 1 2.49442100000000000
8500 8499 2833 2 0.15889400000000001
8500 8499 2833 2 0.21405199999999999
7000 6999 2332 1 2.19782900000000003
8500 8499 2833 2 1.12926199999999999
8500 8499 2832 1 1.67627999999999999
8500 8499 2832 1 1.63936400000000004
8500 8499 2832 1 1.68775000000000008
8500 8499 2832 1 1.69407299999999994
8500 8499 2832 1 1.68990700000000005
8500 8499 2832 1 1.69482200000000005
9500 9499 6 1 0.00208600000000000
9500 9499 22 1 0.00539800000000000
9500 9499 22 1 0.00532000000000000
9500 9499 6 1 0.00208200000000000
9500 9499 6 1 0.00204400000000000
5000 4999 4998 1 4.22907200000000039
9500 9499 22 1 0.00553200000000000
9500 9499 6 1 0.00226600000000000
9500 9499 6 1 0.00205700000000000
9500 9499 22 1 0.00536100000000000
10000 9999 10 1 0.00306800000000000
10000 9999 8 1 0.00251500000000000
9500 9499 6 1 0.00425500000000000
10000 9999 8 1 0.00251800000000000
10000 9999 32 1 0.00741000000000000
10000 9999 8 1 0.01272600000000000
10000 9999 8 1 0.00854700000000000
8500 8499 2832 1 2.69236999999999993
7500 7499 7498 1 4.30247199999999985
10000 9999 8 1 0.00252000000000000
10000 9999 3333 2 0.73107000000000000
7500 7499 7498 1 4.32036399999999965
7500 7499 7498 1 4.23100100000000001
7500 7499 7498 1 4.26771399999999979
7500 7499 7498 1 4.28214700000000015
7500 7499 7498 1 4.26957800000000010
7500 7499 7498 1 4.28938799999999976
7500 7499 7498 1 4.28630699999999987
10000 9999 908 1 0.79395800000000005
8000 7999 7998 1 4.90484299999999962
10000 9999 3333 2 2.29160399999999997
7500 7499 7498 1 7.34596499999999963
7500 7499 7498 1 7.84504800000000024
9000 8999 8998 1 6.69282100000000035
9000 8999 8998 1 6.84500499999999956
9000 8999 8998 1 6.59025000000000016
9000 8999 8998 1 6.63168500000000005
9000 8999 8998 1 6.70985000000000031
9000 8999 8998 1 6.64111700000000038
9000 8999 8998 1 6.71654199999999957
9000 8999 8998 1 6.67104500000000034
9000 8999 8998 1 9.48924300000000009
9000 8999 8998 1 9.34607800000000033
