Nodos Aristas Frontera |CMF| Segundos
3500 183363 1122 2 0.39154499999999998
4000 285439 425 2 0.10796200000000000
4500 775484 871 2 0.29722100000000001
3500 433875 3498 2 0.14607600000000001
4000 486736 1022 2 0.36575000000000002
4000 608411 706 2 0.16126399999999999
4500 398641 4336 2 1.88875499999999996
3500 670594 1807 2 0.54511399999999999
4500 569248 4102 2 1.82806599999999997
3500 907074 2660 2 0.92977100000000001
4000 1114098 2144 2 0.74060800000000004
4500 1290604 1773 2 0.66951799999999995
4000 1265167 2604 2 0.91440200000000005
3500 1443321 1863 2 0.39709699999999998
3500 1422066 1835 2 0.40553400000000001
5000 93608 384 2 0.11889500000000000
5000 416956 1004 2 0.42219000000000001
3500 1899478 2476 2 0.59946999999999995
4000 2031271 2646 2 0.78960399999999997
5000 1063276 4998 2 2.67292500000000022
3500 2211789 2658 2 0.55680099999999999
3500 2245351 2790 2 0.59685500000000002
4500 1738548 2811 2 1.19162999999999997
3500 2303788 2945 2 0.64953799999999995
4500 1672000 1644 2 0.43499100000000002
5000 1464380 1568 2 0.63000699999999998
4500 3235685 4310 2 1.72215900000000000
4000 2524664 2758 2 0.62457200000000002
4500 2274923 3589 2 1.47227700000000006
4000 2723325 2985 2 0.75672099999999998
4500 2784035 2707 2 0.71352700000000002
5000 2110290 4377 2 1.85016300000000000
4000 3076534 3262 2 0.72192000000000001
5000 2096141 1846 2 0.53016799999999997
5000 2062626 2294 2 0.92000400000000004
5000 2641829 3057 2 1.16906800000000000
5000 2616935 2546 2 1.00923699999999994
4000 3848718 3948 2 0.87722299999999997
4500 4409102 4035 2 1.01853600000000011
5000 3792365 4978 2 1.76308599999999993
