Nodos Aristas Frontera |CMF| Segundos
4500 13494 85 3 0.01338800000000000
3500 10494 70 3 0.00511300000000000
3500 10494 51 3 0.00631700000000000
3500 10494 54 3 0.00552400000000000
3500 10494 65 3 0.01307900000000000
3500 10494 53 3 0.02636900000000000
3500 10494 36 3 0.02754500000000000
3500 10494 88 3 0.02862300000000000
3500 10494 91 3 0.02977700000000000
3500 10494 70 3 0.02897300000000000
3500 10494 66 3 0.03058900000000000
4000 11994 68 3 0.00851500000000000
4000 11994 87 3 0.01094400000000000
4000 11994 65 3 0.01598400000000000
4000 11994 58 4 0.02158200000000000
4000 11994 63 3 0.02672500000000000
4000 11994 81 3 0.02778100000000000
4000 11994 54 3 0.02780900000000000
4000 11994 84 3 0.02854500000000000
4000 11994 71 3 0.02995200000000000
4000 11994 45 3 0.01280300000000000
4500 13494 74 3 0.01459300000000000
4500 13494 71 3 0.00958100000000000
4500 13494 107 3 0.01531700000000000
4500 13494 87 3 0.01256100000000000
4500 13494 66 3 0.00966000000000000
4500 13494 73 3 0.01029500000000000
4500 13494 43 3 0.00703500000000000
4500 13494 76 3 0.01209300000000000
4500 13494 71 3 0.01201700000000000
5000 14994 77 3 0.00959400000000000
5000 14994 72 3 0.01150400000000000
5000 14994 82 3 0.01567500000000000
5000 14994 71 3 0.01461000000000000
5000 14994 77 3 0.01019100000000000
5000 14994 60 3 0.00888500000000000
5000 14994 60 3 0.00738600000000000
5000 14994 64 3 0.00409900000000000
5000 14994 60 3 0.00624300000000000
5000 14994 74 3 0.00871200000000000
