Nodos Aristas Frontera |CMF| Segundos
3500 10494 70 3 0.01142500000000000
3500 10494 58 3 0.00723400000000000
3500 10494 64 3 0.00727000000000000
3500 10494 65 3 0.00815500000000000
3500 10494 70 3 0.00792100000000000
3500 10494 62 4 0.00742700000000000
3500 10494 68 3 0.00791300000000000
3500 10494 89 3 0.00858800000000000
3500 10494 95 3 0.00896600000000000
3500 10494 91 3 0.00880000000000000
4000 11994 69 4 0.00775400000000000
4000 11994 63 3 0.00771300000000000
4000 11994 70 3 0.00763800000000000
4000 11994 68 3 0.00750000000000000
4000 11994 84 3 0.00805700000000000
4000 11994 80 4 0.00841400000000000
4000 11994 89 3 0.00847800000000000
4000 11994 82 3 0.00832400000000000
4000 11994 81 3 0.00851100000000000
4000 11994 87 3 0.00878400000000000
4500 13494 107 3 0.00832500000000000
4500 13494 71 3 0.00826000000000000
4500 13494 85 3 0.00904200000000000
4500 13494 98 3 0.00944200000000000
4500 13494 87 3 0.00908000000000000
4500 13494 78 4 0.00900900000000000
4500 13494 47 3 0.00685800000000000
4500 13494 73 3 0.00806500000000000
4500 13494 76 3 0.00820900000000000
4500 13494 72 3 0.00740500000000000
5000 14994 86 3 0.00839200000000000
5000 14994 109 3 0.01048600000000000
5000 14994 70 3 0.00791500000000000
5000 14994 84 4 0.00907900000000000
5000 14994 64 3 0.00980900000000000
5000 14994 65 3 0.00634000000000000
5000 14994 60 3 0.00656200000000000
5000 14994 78 3 0.00713100000000000
5000 14994 72 3 0.00696300000000000
5000 14994 91 3 0.00719700000000000
