Nodos Aristas Frontera |CMF| Segundos
3000 2999 5 2 0.00647500000000000
3500 3499 5 2 0.00345700000000000
3500 3499 5 2 0.00116300000000000
3500 3499 5 2 0.00110700000000000
3500 3499 5 2 0.00119400000000000
3500 3499 2 1 0.00114300000000000
3500 3499 5 2 0.00114500000000000
3750 3749 2 1 0.00379000000000000
3750 3749 5 2 0.00127800000000000
3750 3749 5 2 0.00127700000000000
3750 3749 2 1 0.00122000000000000
3750 3749 5 2 0.00125100000000000
3750 3749 5 2 0.00128800000000000
3750 3749 5 2 0.00126600000000000
3750 3749 5 2 0.00128000000000000
3750 3749 2 1 0.00124800000000000
3750 3749 5 2 0.00125000000000000
3000 2999 5 2 0.00413700000000000
3000 2999 5 2 0.00419900000000000
3000 2999 5 2 0.00397100000000000
3000 2999 6 2 0.00391600000000000
3000 2999 5 2 0.00403200000000000
3000 2999 5 2 0.00405500000000000
3000 2999 2 1 0.00371100000000000
3000 2999 2 1 0.00410000000000000
3000 2999 2 1 0.00998500000000000
4000 3999 2 1 0.00381800000000000
3250 3249 5 2 0.00409200000000000
3250 3249 2 1 0.00381900000000000
3250 3249 5 2 0.00398900000000000
3250 3249 5 2 0.00413700000000000
3250 3249 2 1 0.00361300000000000
3250 3249 2 1 0.00388500000000000
3250 3249 5 2 0.00792400000000000
3250 3249 5 2 0.00811400000000000
3250 3249 5 2 0.00922100000000000
3250 3249 5 2 0.00960900000000000
4250 4249 2 1 0.00321600000000000
3500 3499 5 2 0.00278600000000000
3500 3499 2 1 0.00469500000000000
3500 3499 2 1 0.00554100000000000
3500 3499 5 2 0.00509900000000000
4500 4499 5 2 0.00843500000000000
4500 4499 5 2 0.00143900000000000
4500 4499 2 1 0.00135900000000000
4500 4499 2 1 0.00143200000000000
4500 4499 5 2 0.00148900000000000
4750 4749 5 2 0.00427100000000000
4750 4749 2 1 0.00150000000000000
4750 4749 5 2 0.00159100000000000
4750 4749 5 2 0.00164500000000000
4750 4749 5 2 0.00161200000000000
4750 4749 5 2 0.00161500000000000
4750 4749 2 1 0.00153500000000000
4750 4749 2 1 0.00150900000000000
4000 3999 5 2 0.00494700000000000
4000 3999 5 2 0.00490100000000000
4750 4749 2 1 0.00146600000000000
4000 3999 2 1 0.00643600000000000
4000 3999 2 1 0.00815000000000000
4000 3999 2 1 0.00456600000000000
4000 3999 2 1 0.00472200000000000
4000 3999 2 1 0.00468800000000000
4000 3999 2 1 0.00754400000000000
5000 4999 5 2 0.00418100000000000
4000 3999 2 1 0.00428600000000000
5000 4999 2 1 0.00157300000000000
4250 4249 2 1 0.00483400000000000
4250 4249 2 1 0.00642100000000000
4250 4249 2 1 0.00465400000000000
4250 4249 5 2 0.00465800000000000
4250 4249 5 2 0.00473700000000000
4250 4249 5 2 0.00483300000000000
4250 4249 5 2 0.00416700000000000
5500 5499 2 1 0.00426600000000000
4250 4249 2 1 0.00411200000000000
4250 4249 5 2 0.00549400000000000
5500 5499 5 2 0.00180800000000000
4500 4499 5 2 0.00418300000000000
6000 5999 2 1 0.00388800000000000
6000 5999 5 2 0.00196800000000000
4500 4499 5 2 0.00493400000000000
4500 4499 2 1 0.00465000000000000
4500 4499 2 1 0.00449500000000000
4500 4499 5 2 0.00415400000000000
6000 5999 5 2 0.00204400000000000
6000 5999 2 1 0.00195500000000000
6500 6499 2 1 0.00545000000000000
6500 6499 2 1 0.00203600000000000
6500 6499 5 2 0.00223900000000000
4750 4749 5 2 0.00527200000000000
6500 6499 5 2 0.00226500000000000
6500 6499 5 2 0.00219100000000000
5000 4999 5 2 0.00506500000000000
5000 4999 5 2 0.00542500000000000
6500 6499 2 1 0.00197100000000000
5000 4999 5 2 0.00876000000000000
5000 4999 2 1 0.00690100000000000
6500 6499 5 2 0.00219500000000000
5000 4999 2 1 0.00847600000000000
5000 4999 5 2 0.00486000000000000
5000 4999 2 1 0.00702100000000000
5000 4999 5 2 0.00732100000000000
7000 6999 2 1 0.00545000000000000
7000 6999 5 2 0.00236700000000000
7000 6999 2 1 0.00239500000000000
5500 5499 5 2 0.00664900000000000
5500 5499 2 1 0.00555300000000000
7000 6999 2 1 0.00512000000000000
5500 5499 2 1 0.00599300000000000
5500 5499 2 1 0.00903700000000000
5500 5499 2 1 0.00846900000000000
5500 5499 2 1 0.00546800000000000
5500 5499 2 1 0.00558800000000000
5500 5499 5 2 0.00476000000000000
7500 7499 5 2 0.00534100000000000
7500 7499 5 2 0.00247400000000000
6000 5999 2 1 0.00687000000000000
6000 5999 2 1 0.00639400000000000
