Nodos Aristas Frontera |CMF| Segundos
3500 4542999 70846 27 0.93996999999999997
3500 4572736 73906 28 0.93048900000000001
3500 4794415 91122 33 1.09036099999999991
3500 5301281 151902 50 1.48062800000000006
4000 5869820 80093 27 1.17138699999999996
4000 6215014 100358 32 1.26870599999999989
4500 6868362 68340 22 1.37442799999999998
4000 7212961 243915 68 2.23659400000000019
4500 7490841 87710 26 1.58912999999999993
4500 7546209 98580 29 1.54165500000000000
4500 7828469 115649 33 1.66930700000000010
5000 8378002 75017 22 1.52202700000000002
5000 8749880 81679 23 1.62095199999999995
3500 6002456 991353 316 12.07394200000000062
5000 10096889 158641 39 2.08716899999999983
5000 10191113 156104 38 2.12799400000000016
5000 10345558 170632 41 2.13444300000000009
4000 7743615 730187 197 7.16359999999999975
4500 9676847 608472 145 5.64315700000000042
4000 7791757 887603 241 9.15693500000000071
