Nodos Aristas Frontera |CMF| Segundos
4000 3999 24 2 0.00567900000000000
3500 3499 18 2 0.00452700000000000
3500 3499 23 2 0.00468600000000000
3500 3499 18 2 0.00449800000000000
3500 3499 23 2 0.00474900000000000
3500 3499 20 2 0.00433600000000000
3500 3499 21 2 0.00454700000000000
3500 3499 20 2 0.00428500000000000
3500 3499 24 2 0.00443900000000000
3500 3499 21 2 0.00429200000000000
3500 3499 23 2 0.00437800000000000
4000 3999 24 2 0.00414000000000000
4000 3999 27 2 0.00431500000000000
4000 3999 23 2 0.00405400000000000
4000 3999 18 2 0.00373900000000000
4000 3999 23 2 0.00388500000000000
4000 3999 16 2 0.00363100000000000
4000 3999 23 2 0.00386600000000000
4000 3999 21 2 0.00383400000000000
4000 3999 20 2 0.00373900000000000
4500 4499 21 2 0.00269600000000000
4500 4499 18 2 0.00316900000000000
4500 4499 18 2 0.00313200000000000
4500 4499 22 2 0.00330000000000000
4500 4499 21 2 0.00353200000000000
4500 4499 23 2 0.00381800000000000
4500 4499 25 2 0.00375600000000000
4500 4499 17 2 0.00334100000000000
4500 4499 21 2 0.00343700000000000
4500 4499 21 2 0.00344800000000000
5000 4999 16 2 0.00298300000000000
5000 4999 21 2 0.00313400000000000
5000 4999 19 2 0.00307700000000000
5000 4999 22 2 0.00300400000000000
5000 4999 20 2 0.00271200000000000
5000 4999 19 2 0.00155900000000000
5000 4999 14 2 0.00117000000000000
5000 4999 24 2 0.00148800000000000
5000 4999 23 2 0.00132700000000000
5000 4999 22 2 0.00130200000000000
