Nodos Aristas Frontera |CMF| Segundos
3500 1147129 763880 874 11.72706600000000066
3500 1147129 763880 874 11.73663999999999952
3500 1147129 763880 874 11.76041900000000062
3500 1147129 763880 874 12.47765000000000057
3500 1147129 763880 874 12.40963400000000050
3500 1147129 763880 874 12.49590700000000076
3500 1147129 763880 874 12.39921700000000016
3500 1147129 763880 874 12.54194900000000068
3500 1147129 763880 874 12.56803799999999960
3500 1147129 763880 874 12.80241799999999941
4000 1498504 998005 999 17.90457100000000068
4000 1498504 998005 999 17.97526200000000074
4000 1498504 998005 999 18.90246600000000043
4000 1498504 998005 999 19.17072100000000034
4000 1498504 998005 999 19.16806100000000157
4000 1498504 998005 999 19.23207299999999975
4000 1498504 998005 999 19.29116300000000095
4000 1498504 998005 999 20.16312699999999936
4000 1498504 998005 999 19.18315099999999873
4000 1498504 998005 999 21.21853099999999870
4500 1896754 1263380 1124 28.08686300000000102
4500 1896754 1263380 1124 27.44970500000000158
4500 1896754 1263380 1124 28.91587900000000033
4500 1896754 1263380 1124 29.80368299999999948
4500 1896754 1263380 1124 25.70377799999999979
4500 1896754 1263380 1124 27.45722699999999961
4500 1896754 1263380 1124 26.06841100000000111
4500 1896754 1263380 1124 25.74668199999999985
4500 1896754 1263380 1124 25.63544399999999968
4500 1896754 1263380 1124 27.06203199999999853
5000 2341879 1560005 1249 31.12448900000000052
5000 2341879 1560005 1249 31.47806599999999833
5000 2341879 1560005 1249 31.68082599999999971
5000 2341879 1560005 1249 30.02060300000000126
5000 2341879 1560005 1249 29.83102799999999988
5000 2341879 1560005 1249 29.25361200000000039
5000 2341879 1560005 1249 29.82734800000000064
5000 2341879 1560005 1249 31.90946500000000086
5000 2341879 1560005 1249 31.89889099999999900
5000 2341879 1560005 1249 43.64563199999999910
