Nodos Aristas Frontera |CMF| Segundos
4500 1896754 2249 2 0.00710000000000000
3500 1147129 1749 2 0.00628200000000000
3500 1147129 1749 2 0.00618100000000000
3500 1147129 1749 2 0.00640900000000000
3500 1147129 1749 2 0.00594300000000000
3500 1147129 1749 2 0.00597800000000000
3500 1147129 1749 2 0.00621500000000000
3500 1147129 1749 2 0.00631900000000000
3500 1147129 1749 2 0.00697900000000000
3500 1147129 1749 2 0.00588100000000000
3500 1147129 1749 2 0.00582600000000000
4000 1498504 1999 2 0.00545300000000000
4000 1498504 1999 2 0.00562300000000000
4000 1498504 1999 2 0.00599100000000000
4000 1498504 1999 2 0.00589200000000000
4000 1498504 1999 2 0.00642500000000000
4000 1498504 1999 2 0.00559900000000000
4000 1498504 1999 2 0.00496500000000000
4000 1498504 1999 2 0.00514800000000000
4000 1498504 1999 2 0.01546500000000000
4000 1498504 1999 2 0.00541700000000000
4500 1896754 2249 2 0.00911900000000000
4500 1896754 2249 2 0.00995000000000000
4500 1896754 2249 2 0.00753700000000000
4500 1896754 2249 2 0.00362200000000000
4500 1896754 2249 2 0.00799100000000000
4500 1896754 2249 2 0.00761600000000000
4500 1896754 2249 2 0.00790800000000000
4500 1896754 2249 2 0.00587000000000000
4500 1896754 2249 2 0.00846900000000000
5000 2341879 2499 2 0.00553400000000000
5000 2341879 2499 2 0.00465200000000000
5000 2341879 2499 2 0.01598600000000000
5000 2341879 2499 2 0.00764200000000000
5000 2341879 2499 2 0.00920600000000000
5000 2341879 2499 2 0.00281300000000000
5000 2341879 2499 2 0.00296600000000000
5000 2341879 2499 2 0.00153100000000000
5000 2341879 2499 2 0.00153800000000000
5000 2341879 2499 2 0.00144300000000000
