Nodos Aristas Frontera |CMF| Segundos
4000 3999 23 2 0.00626900000000000
3500 3499 20 2 0.00525900000000000
3500 3499 23 2 0.00555200000000000
3500 3499 23 2 0.00550300000000000
3500 3499 20 2 0.00506000000000000
3500 3499 24 2 0.00548400000000000
3500 3499 18 2 0.00508000000000000
3500 3499 18 2 0.00506400000000000
3500 3499 21 2 0.00511800000000000
3500 3499 23 2 0.00548000000000000
3500 3499 21 2 0.00532300000000000
4000 3999 23 2 0.00504200000000000
4000 3999 16 2 0.00458100000000000
4000 3999 24 2 0.00537000000000000
4000 3999 18 2 0.00450800000000000
4000 3999 21 2 0.00491900000000000
4000 3999 27 2 0.00512400000000000
4000 3999 20 2 0.00479300000000000
4000 3999 23 2 0.00462300000000000
4000 3999 24 2 0.00460100000000000
4500 4499 21 2 0.00373900000000000
4500 4499 18 2 0.00440400000000000
4500 4499 22 2 0.00447300000000000
4500 4499 18 2 0.00449600000000000
4500 4499 21 2 0.00474000000000000
4500 4499 17 2 0.00442500000000000
4500 4499 25 2 0.00485800000000000
4500 4499 21 2 0.00460600000000000
4500 4499 23 2 0.00469600000000000
4500 4499 21 2 0.00435500000000000
5000 4999 16 2 0.00393400000000000
5000 4999 20 2 0.00399000000000000
5000 4999 21 2 0.00425300000000000
5000 4999 19 2 0.00403200000000000
5000 4999 22 2 0.00386400000000000
5000 4999 19 2 0.00243800000000000
5000 4999 22 2 0.00257800000000000
5000 4999 14 2 0.00216100000000000
5000 4999 24 2 0.00242900000000000
5000 4999 23 2 0.00231100000000000
