Nodos Aristas Frontera |CMF| Segundos
3500 4542999 70846 27 1.61481600000000003
3500 4572736 73906 28 1.69771099999999997
3500 4794415 91122 33 1.74921700000000002
3500 5301281 151902 50 2.49119100000000016
4000 5869820 80093 27 2.15152600000000005
4000 7743615 730187 197 9.42762699999999931
4000 6215014 100358 32 2.46436000000000011
4500 6868362 68340 22 2.30595300000000014
4500 7490841 87710 26 2.77430200000000005
4000 7212961 243915 68 3.68116600000000016
4500 7828469 115649 33 3.04449799999999993
4500 7546209 98580 29 2.79288999999999987
5000 8378002 75017 22 2.99281700000000006
5000 8749880 81679 23 2.97363700000000009
3500 6002456 991353 316 12.43457399999999957
5000 10096889 158641 39 3.78516399999999997
5000 10191113 156104 38 3.78507099999999985
5000 10345558 170632 41 4.01622400000000024
4500 9676847 608472 145 8.30112399999999973
4000 7791757 887603 241 11.09891900000000042
