Nodos Aristas Frontera |CMF| Segundos
3500 3499 3498 2 0.00699800000000000
3500 3499 3498 2 0.00720400000000000
3500 3499 3498 2 0.00682700000000000
3500 3499 3498 2 0.00709200000000000
3500 3499 3498 2 0.00765100000000000
3500 3499 3498 2 0.00780700000000000
3500 3499 3498 2 0.00695700000000000
3500 3499 3498 2 0.00744900000000000
3500 3499 3498 2 0.00733300000000000
3500 3499 3498 2 0.00714000000000000
4000 3999 129 2 0.00302400000000000
4000 3999 129 2 0.00293500000000000
4000 3999 129 2 0.00291200000000000
4000 3999 129 2 0.00284600000000000
4000 3999 129 2 0.00303300000000000
4000 3999 129 2 0.00298600000000000
4000 3999 129 2 0.00294600000000000
4500 4499 409 2 0.00347800000000000
4500 4499 409 2 0.00344800000000000
4500 4499 409 2 0.00352900000000000
4500 4499 409 2 0.00396100000000000
4500 4499 408 2 0.00349200000000000
4500 4499 409 2 0.00375700000000000
4500 4499 409 2 0.00518200000000000
4500 4499 409 2 0.00965500000000000
4500 4499 409 2 0.00366900000000000
5000 4999 4998 2 0.00619700000000000
5000 4999 4998 2 0.00610300000000000
5000 4999 4998 2 0.00998400000000000
5000 4999 4998 2 0.00965700000000000
5000 4999 4998 2 0.00650900000000000
5000 4999 4998 2 0.00691000000000000
5000 4999 4998 2 0.00806400000000000
5000 4999 4998 2 0.00791200000000000
5000 4999 4998 2 0.00592300000000000
5000 4999 4998 2 0.00569800000000000
5500 5499 1833 2 0.00453100000000000
4500 4499 409 2 0.00512600000000000
4000 3999 129 2 0.00278400000000000
4000 3999 129 2 0.00186600000000000
4000 3999 129 2 0.00171500000000000
5500 5499 423 2 0.00343200000000000
5500 5499 611 2 0.00361100000000000
5500 5499 422 2 0.00329700000000000
5500 5499 611 2 0.00464400000000000
5500 5499 423 2 0.00422200000000000
5500 5499 1833 2 0.00522000000000000
5500 5499 611 2 0.00450600000000000
5500 5499 1833 2 0.00541200000000000
5500 5499 1833 2 0.01217300000000000
6000 5999 857 2 0.00422400000000000
6000 5999 856 2 0.00423500000000000
6000 5999 857 2 0.00946000000000000
6000 5999 857 2 0.00455300000000000
6000 5999 856 2 0.00416100000000000
6000 5999 856 2 0.00705200000000000
6000 5999 856 2 0.00441000000000000
6000 5999 857 2 0.00378000000000000
6000 5999 857 2 0.00714000000000000
6000 5999 856 2 0.00410300000000000
6500 6499 97 2 0.00370900000000000
6500 6499 97 2 0.00361200000000000
6500 6499 97 2 0.00632200000000000
6500 6499 97 2 0.00629000000000000
6500 6499 97 2 0.00376000000000000
6500 6499 97 2 0.00394300000000000
7000 6999 2333 2 0.00622500000000000
7000 6999 2333 2 0.00886100000000000
7000 6999 2332 2 0.00604400000000000
7000 6999 2332 2 0.00589000000000000
7000 6999 2333 2 0.00564000000000000
7000 6999 2332 2 0.00564800000000000
7000 6999 2332 2 0.00600800000000000
7000 6999 2332 2 0.00573700000000000
7000 6999 2332 2 0.00575000000000000
7000 6999 2332 2 0.00570200000000000
7500 7499 7498 2 0.00879700000000000
7500 7499 7498 2 0.00899200000000000
7500 7499 7498 2 0.00901600000000000
7500 7499 7498 2 0.00880900000000000
7500 7499 7498 2 0.00899200000000000
7500 7499 7498 2 0.00942600000000000
7500 7499 7498 2 0.01003000000000000
7500 7499 7498 2 0.00955200000000000
6500 6499 97 2 0.00720200000000000
6500 6499 97 2 0.00450100000000000
6500 6499 97 2 0.00289400000000000
6500 6499 97 2 0.00207000000000000
7500 7499 7498 2 0.01296700000000000
7500 7499 7498 2 0.01324100000000000
8000 7999 421 2 0.00504400000000000
8000 7999 421 2 0.00490800000000000
8000 7999 421 2 0.01205000000000000
8000 7999 421 2 0.00487700000000000
8000 7999 7998 2 0.01040500000000000
8000 7999 421 2 0.00429700000000000
8000 7999 421 2 0.01138200000000000
8000 7999 421 2 0.00397100000000000
8000 7999 421 2 0.00744400000000000
8000 7999 421 2 0.00502300000000000
8500 8499 2832 2 0.00670600000000000
8500 8499 2833 2 0.01077900000000000
8500 8499 2832 2 0.00668300000000000
8500 8499 2832 2 0.01438100000000000
8500 8499 2833 2 0.00664600000000000
8500 8499 2833 2 0.00685600000000000
8500 8499 2832 2 0.00821300000000000
8500 8499 2832 2 0.00673700000000000
8500 8499 2832 2 0.00643200000000000
9000 8999 8998 2 0.01160200000000000
9000 8999 8998 2 0.01132000000000000
9000 8999 8998 2 0.01098300000000000
9000 8999 8998 2 0.02029900000000000
9000 8999 8998 2 0.01598400000000000
9000 8999 8998 2 0.01176700000000000
9000 8999 8998 2 0.01118400000000000
9500 9499 1357 2 0.00616100000000000
9500 9499 413 2 0.00625300000000000
9500 9499 413 2 0.00508100000000000
8500 8499 2832 2 0.01386600000000000
9000 8999 8998 2 0.01042000000000000
9000 8999 8998 2 0.00741700000000000
9000 8999 8998 2 0.00704200000000000
9500 9499 1357 2 0.00521900000000000
9500 9499 1357 2 0.02320500000000000
9500 9499 1357 2 0.00545700000000000
9500 9499 413 2 0.00444800000000000
9500 9499 1357 2 0.01444900000000000
9500 9499 1357 2 0.00398200000000000
9500 9499 413 2 0.00346100000000000
10000 9999 909 2 0.00444200000000000
10000 9999 1111 2 0.00971900000000000
10000 9999 1111 2 0.00411000000000000
10000 9999 303 2 0.00313700000000000
10000 9999 1111 2 0.00340400000000000
10000 9999 3333 2 0.00748400000000000
10000 9999 1111 2 0.00216000000000000
10000 9999 3333 2 0.00242900000000000
10000 9999 908 2 0.00175700000000000
10000 9999 1111 2 0.00186800000000000
