Nodos Aristas Frontera |CMF| Segundos
3500 10494 67 3 0.00891900000000000
3500 10494 76 3 0.00592400000000000
3500 10494 70 3 0.00650500000000000
3500 10494 84 3 0.00634400000000000
3500 10494 77 3 0.00632500000000000
3500 10494 78 3 0.00608700000000000
3500 10494 84 3 0.00681800000000000
3500 10494 88 4 0.00629200000000000
3500 10494 83 3 0.00677800000000000
3500 10494 81 3 0.00635500000000000
4000 11994 72 3 0.00606300000000000
4000 11994 84 3 0.00612500000000000
4000 11994 79 3 0.00614400000000000
4000 11994 87 3 0.00658100000000000
4000 11994 58 3 0.00873100000000000
4000 11994 78 3 0.00924700000000000
4000 11994 70 3 0.00902700000000000
4000 11994 81 3 0.00944300000000000
4000 11994 81 4 0.00941500000000000
4000 11994 86 3 0.00944200000000000
4500 13494 107 3 0.00641500000000000
4500 13494 91 4 0.00669900000000000
4500 13494 85 3 0.00645800000000000
4500 13494 107 3 0.00746900000000000
4500 13494 98 3 0.00739600000000000
4500 13494 69 3 0.00565600000000000
4500 13494 78 4 0.00621200000000000
4500 13494 81 3 0.00720000000000000
4500 13494 74 3 0.00707900000000000
4500 13494 84 3 0.00623000000000000
5000 14994 82 3 0.00603400000000000
5000 14994 75 3 0.00546300000000000
5000 14994 109 3 0.00689600000000000
5000 14994 76 3 0.00636600000000000
5000 14994 87 4 0.00365500000000000
5000 14994 92 3 0.00459700000000000
5000 14994 86 3 0.00544300000000000
5000 14994 72 3 0.00405600000000000
5000 14994 71 3 0.00389100000000000
5000 14994 74 3 0.00380800000000000
