Nodos Aristas Frontera |CMF| Segundos
17 31 18 4 0.00109500000000000
18 32 19 4 0.00005500000000000
17 31 18 4 0.00006000000000000
18 32 19 4 0.00003600000000000
17 31 18 4 0.00003900000000000
19 33 19 4 0.00004300000000000
18 32 19 4 0.00004600000000000
19 33 19 4 0.00004800000000000
19 33 19 4 0.00194300000000000
17 31 18 4 0.00006900000000000
19 33 19 4 0.00003400000000000
18 32 19 4 0.00004600000000000
18 32 19 4 0.00008000000000000
18 32 19 4 0.00004600000000000
18 32 19 4 0.00008200000000000
20 34 20 4 0.00004100000000000
20 34 20 4 0.00005100000000000
19 33 19 4 0.00005200000000000
19 33 19 4 0.00191600000000000
17 31 18 4 0.00004000000000000
19 33 19 4 0.00003500000000000
17 31 18 4 0.00004300000000000
19 33 19 4 0.00005100000000000
18 32 19 4 0.00004900000000000
17 31 18 4 0.00034700000000000
21 46 27 5 0.00004400000000000
17 31 18 4 0.00004100000000000
20 34 20 4 0.00003900000000000
21 46 27 5 0.00005700000000000
19 33 19 4 0.00003400000000000
21 46 27 5 0.00005600000000000
20 34 20 4 0.00003600000000000
21 46 27 5 0.00005000000000000
21 46 27 5 0.00004300000000000
20 34 20 4 0.00005100000000000
22 47 28 5 0.00006300000000000
22 47 28 5 0.00006000000000000
22 47 28 5 0.00004800000000000
18 32 19 4 0.00037800000000000
22 47 28 5 0.00005200000000000
22 47 28 5 0.00004700000000000
20 34 20 4 0.00005100000000000
22 47 28 5 0.00005900000000000
20 34 20 4 0.00005500000000000
21 46 27 5 0.00004500000000000
23 48 28 5 0.00005500000000000
22 47 28 5 0.00006100000000000
22 47 28 5 0.00008300000000000
21 46 27 5 0.00005700000000000
23 48 28 5 0.00004900000000000
23 48 28 5 0.00006300000000000
23 48 28 5 0.00004900000000000
23 48 28 5 0.00006300000000000
23 48 28 5 0.00006300000000000
21 46 27 5 0.00005600000000000
23 48 28 5 0.00005000000000000
22 47 28 5 0.00006400000000000
24 49 29 5 0.00005800000000000
24 49 29 5 0.00007400000000000
24 49 29 5 0.00006600000000000
24 49 29 5 0.00006100000000000
23 48 28 5 0.00005000000000000
23 48 28 5 0.00006800000000000
24 49 29 5 0.00005900000000000
24 49 29 5 0.00007400000000000
24 49 29 5 0.00007900000000000
23 48 28 5 0.00006900000000000
25 64 38 6 0.00006000000000000
24 49 29 5 0.00007500000000000
20 34 20 4 0.00005000000000000
25 64 38 6 0.00007600000000000
25 64 38 6 0.00008900000000000
19 33 19 4 0.00004900000000000
25 64 38 6 0.00006100000000000
