Nodos Aristas Frontera |CMF| Segundos
4000 332309 760 4 0.55997600000000003
3500 375200 982 4 0.84779300000000002
4000 441048 764 3 0.96199299999999999
3500 521942 1648 5 1.12785000000000002
3500 700840 1769 4 1.64951399999999992
3500 808488 2470 5 1.80780999999999992
3500 1272577 4619 6 3.21431900000000015
3500 887453 3230 6 2.10298199999999991
5000 66225 85 2 0.10796799999999999
4000 909883 2439 5 1.95580099999999990
4000 925074 2503 5 2.20762400000000003
3500 1037303 3740 6 2.42156500000000019
4500 749548 1492 4 1.80797500000000011
4500 1158262 2774 5 2.76808500000000013
4000 1247974 3398 5 3.22361399999999998
3500 1406642 5178 6 3.83817200000000014
5000 697195 960 3 1.71327000000000007
4000 1669693 5324 6 4.69032599999999977
4000 1728136 6392 7 4.59328800000000026
4000 1748679 5567 6 4.89016200000000012
5000 772089 1411 4 1.68270999999999993
4500 1794102 5136 6 4.98276900000000023
3500 1911293 10221 9 5.34325500000000009
4000 1924810 6119 6 5.45865699999999965
3500 2011809 9641 8 5.71138100000000026
4500 1641788 4669 6 4.60315399999999997
4000 2240623 8230 7 6.45340299999999978
4500 2196909 6200 6 5.63585400000000014
4500 2020280 6618 7 5.31065900000000024
5000 2442818 5234 5 5.97698899999999966
5000 3033739 8929 7 8.69155199999999972
4500 2943876 9662 7 8.67126000000000019
5000 2959504 7489 6 7.17499999999999982
4500 2991655 9782 7 7.54133600000000026
5000 2876705 8524 7 7.35107300000000041
4500 3110955 12975 9 9.17079700000000031
5000 3707275 12503 8 9.45432800000000029
4500 3296109 10825 7 10.35110300000000016
5000 3705136 10875 7 9.78741199999999978
5000 4058992 11944 7 10.89788899999999927
