Nodos Aristas Frontera |CMF| Segundos
3500 2304885 10923 8 7.30644700000000036
3500 2440833 12945 9 7.61074300000000026
4000 2901386 13665 9 9.64461499999999994
3500 3306381 25246 13 11.08575000000000088
4500 3503114 14455 9 10.58348299999999931
4000 3519505 19757 11 11.09165800000000068
4000 3636176 22414 12 11.58619599999999927
3500 3708229 38703 18 12.36459499999999956
4000 3669004 20796 11 12.48295599999999972
3500 3787449 37741 17 13.02726900000000043
4000 4420472 34053 15 15.25645800000000030
4500 5331278 29371 12 18.66055199999999914
4500 5494555 30216 12 19.16174099999999925
5000 5804579 26250 11 19.95497900000000158
5000 6295323 30957 12 21.60003400000000084
4500 6392292 52143 18 23.94528000000000034
4500 6535176 53437 18 23.94433799999999835
5000 8035757 62226 19 30.54566099999999906
5000 7627871 49905 16 28.38415399999999877
5000 8137920 56546 17 30.55651200000000145
