Nodos Aristas Frontera |CMF| Segundos
4000 3999 8 2 0.02198900000000000
3500 3499 4 2 0.01546400000000000
3500 3499 6 2 0.01827700000000000
3500 3499 5 2 0.01622900000000000
3500 3499 7 2 0.01810200000000000
3500 3499 8 2 0.01860700000000000
3500 3499 12 2 0.01935500000000000
3500 3499 12 2 0.02232300000000000
3500 3499 16 2 0.02375500000000000
3500 3499 12 2 0.02208600000000000
3500 3499 21 2 0.02793600000000000
4000 3999 3 2 0.01617800000000000
4000 3999 6 2 0.01702700000000000
4000 3999 7 2 0.01823500000000000
4000 3999 8 2 0.01900500000000000
4000 3999 8 2 0.02053300000000000
4000 3999 10 2 0.02245300000000000
4000 3999 15 2 0.02774900000000000
4000 3999 19 2 0.02999000000000000
4000 3999 18 2 0.03123600000000000
4500 4499 5 2 0.01748800000000000
4500 4499 3 1 0.01644800000000000
4500 4499 9 2 0.02017100000000000
4500 4499 13 2 0.02592000000000000
4500 4499 12 2 0.03602700000000000
4500 4499 7 2 0.02134100000000000
4500 4499 7 2 0.02007300000000000
4500 4499 6 2 0.01856000000000000
4500 4499 7 2 0.01959400000000000
4500 4499 16 2 0.02516200000000000
5000 4999 12 2 0.02994000000000000
5000 4999 8 2 0.02505400000000000
5000 4999 9 2 0.02640300000000000
5000 4999 4 2 0.01792600000000000
5000 4999 9 2 0.02447000000000000
5000 4999 9 2 0.02320800000000000
5000 4999 11 2 0.02441000000000000
5000 4999 21 2 0.03787400000000000
5000 4999 16 2 0.03056500000000000
5000 4999 17 2 0.03298100000000000
