Nodos Aristas Frontera |CMF| Segundos
4000 11994 86 3 0.02279800000000000
3500 10494 76 3 0.01322100000000000
3500 10494 67 3 0.01477600000000000
3500 10494 78 3 0.01430100000000000
3500 10494 84 3 0.01472300000000000
3500 10494 81 3 0.01527600000000000
3500 10494 77 3 0.01510400000000000
3500 10494 70 3 0.01522700000000000
3500 10494 88 4 0.01548000000000000
3500 10494 84 3 0.01700400000000000
3500 10494 83 3 0.01712900000000000
4000 11994 58 3 0.01366200000000000
4000 11994 70 3 0.01525500000000000
4000 11994 84 3 0.01578000000000000
4000 11994 72 3 0.01541600000000000
4000 11994 79 3 0.01585100000000000
4000 11994 78 3 0.01580600000000000
4000 11994 87 3 0.01715100000000000
4000 11994 81 4 0.01657100000000000
4000 11994 81 3 0.01687100000000000
4500 13494 107 3 0.02000100000000000
4500 13494 91 4 0.01851400000000000
4500 13494 85 3 0.02017000000000000
4500 13494 107 3 0.02172900000000000
4500 13494 98 3 0.02296600000000000
4500 13494 69 3 0.01820600000000000
4500 13494 78 4 0.01730700000000000
4500 13494 74 3 0.01643900000000000
4500 13494 81 3 0.01679700000000000
4500 13494 84 3 0.01875600000000000
5000 14994 92 3 0.02078700000000000
5000 14994 86 3 0.01896800000000000
5000 14994 82 3 0.01827400000000000
5000 14994 75 3 0.01528800000000000
5000 14994 71 3 0.01542200000000000
5000 14994 109 3 0.02355800000000000
5000 14994 76 3 0.01344300000000000
5000 14994 74 3 0.01488500000000000
5000 14994 72 3 0.01490200000000000
5000 14994 87 4 0.01520900000000000
