Nodos Aristas Frontera |CMF| Segundos
4000 7998 4000 2 1.00758100000000006
4500 8998 4500 2 2.97992400000000002
4000 7998 4000 2 3.87210400000000021
3500 6998 3500 2 4.40574599999999972
3500 6998 3500 2 4.54169999999999963
3500 6998 3500 2 4.81109499999999990
3500 6998 3500 2 4.93303899999999995
3500 6998 3500 2 4.95515300000000014
3500 6998 3500 2 4.97015700000000038
3500 6998 3500 2 5.05368499999999976
4500 8998 4500 2 0.65817499999999995
3500 6998 3500 2 5.12859999999999960
3500 6998 3500 2 5.31674700000000033
3500 6998 3500 2 5.53377500000000033
4000 7998 4000 2 5.99909599999999976
4000 7998 4000 2 6.15098500000000037
5000 9998 5000 2 1.26739099999999993
4000 7998 4000 2 6.39785399999999971
4000 7998 4000 2 6.88613500000000034
4000 7998 4000 2 6.94862900000000039
4500 8998 4500 2 6.92447799999999969
5000 9998 5000 2 2.08914499999999981
4000 7998 4000 2 7.04273300000000013
5500 10998 5500 2 0.94558900000000001
4000 7998 4000 2 8.08782099999999993
5000 9998 5000 2 2.61799999999999988
4000 7998 4000 2 8.14922900000000006
4500 8998 4500 2 8.90785999999999945
4500 8998 4500 2 9.20543799999999912
4500 8998 4500 2 9.19506200000000007
4500 8998 4500 2 6.34466800000000042
5000 9998 5000 2 6.17184099999999969
4500 8998 4500 2 8.55219999999999914
5000 9998 5000 2 8.43571500000000007
4500 8998 4500 2 8.71345900000000029
4500 8998 4500 2 10.67906799999999912
5500 10998 5500 2 8.85524200000000050
5000 9998 5000 2 10.97991500000000009
6000 11998 6000 2 3.38905799999999990
5000 9998 5000 2 12.44922200000000068
5000 9998 5000 2 11.63817399999999935
5500 10998 5500 2 9.73996600000000079
5000 9998 5000 2 12.12839899999999993
5000 9998 5000 2 15.15356000000000058
5500 10998 5500 2 14.11862600000000079
5500 10998 5500 2 15.95209700000000019
5500 10998 5500 2 15.19579099999999983
5500 10998 5500 2 15.75271799999999978
5500 10998 5500 2 15.29933399999999999
5500 10998 5500 2 15.98040699999999958
5500 10998 5500 2 17.98151500000000169
6000 11998 6000 2 13.64219600000000021
6000 11998 6000 2 16.27312999999999832
6000 11998 6000 2 17.11832499999999868
6000 11998 6000 2 17.77763399999999905
6000 11998 6000 2 18.14353099999999941
6000 11998 6000 2 19.22332899999999967
6000 11998 6000 2 16.23119799999999913
6000 11998 6000 2 18.34666199999999847
7000 13998 7000 2 2.40333700000000006
6000 11998 6000 2 18.79292200000000079
6500 12998 6500 2 18.98335099999999898
6500 12998 6500 2 19.53164699999999954
6500 12998 6500 2 19.90219600000000000
6500 12998 6500 2 19.92172499999999857
6500 12998 6500 2 20.05095800000000139
6500 12998 6500 2 21.06748599999999882
7500 14998 7500 2 10.26738600000000012
6500 12998 6500 2 20.20224899999999835
6500 12998 6500 2 22.20059499999999986
7000 13998 7000 2 16.56568199999999891
6500 12998 6500 2 19.51103399999999866
6500 12998 6500 2 20.74681100000000100
7000 13998 7000 2 22.06592399999999898
7000 13998 7000 2 22.75244100000000103
7000 13998 7000 2 20.56652199999999908
7000 13998 7000 2 21.49324400000000068
7000 13998 7000 2 19.44842399999999927
7000 13998 7000 2 23.22012199999999993
