Nodos Aristas Frontera |CMF| Segundos
3500 968691 3498 2 4.69448000000000043
4000 683959 3998 2 6.44772500000000015
3500 1065931 3498 2 4.68922500000000042
3500 1034724 3498 2 4.73563699999999965
3500 1288276 3498 2 4.61010499999999990
3500 2585019 3498 2 4.70488999999999979
3500 1436875 3498 2 4.69327800000000028
3500 2125476 3498 2 4.62067099999999975
4000 1853775 3998 2 6.47672999999999988
4500 1569339 4498 2 8.75942200000000071
3500 2710851 3498 2 4.73356599999999972
3500 3058011 3498 2 4.50796500000000044
3500 2876739 3498 2 4.65743699999999983
4500 521339 4498 2 8.05043500000000023
4500 546875 4498 2 8.89616999999999969
5000 149100 4998 2 9.42622599999999977
4000 3173719 3998 2 6.35853300000000043
4000 3358399 3998 2 6.63020500000000013
4000 3345519 3998 2 6.88384000000000018
4000 3613116 3998 2 6.60102299999999964
4000 3745984 3998 2 6.51806299999999972
4000 3761856 3998 2 6.76465300000000003
4000 3847119 3998 2 6.52374299999999963
4000 3968671 3998 2 6.68132899999999985
4500 4140900 4498 2 8.94206999999999930
4500 5013659 4498 2 8.62590900000000005
4500 5045076 4498 2 8.74967200000000034
4500 4203171 4498 2 6.57235600000000009
4500 4268619 4498 2 6.93640499999999971
4500 4780539 4498 2 8.22810999999999915
4500 5060736 4498 2 6.77511400000000030
5000 2486400 4998 2 10.99114699999999978
5000 3481104 4998 2 10.15000500000000017
5000 1998156 4998 2 10.62841799999999992
5000 5969100 4998 2 7.72389800000000015
5000 3243244 4998 2 10.51773900000000062
5000 3319056 4998 2 10.41776800000000058
5000 6249039 4998 2 8.11708999999999925
5000 6156364 4998 2 8.14000000000000057
5000 5265936 4998 2 9.81342800000000004
