Nodos Aristas Frontera |CMF| Segundos
3 2 2 1 0.00006500000000000
3 2 2 1 0.00096700000000000
4 3 2 2 0.00010800000000000
3 2 2 1 0.00094000000000000
5 4 3 2 0.00143800000000000
4 3 2 2 0.00011900000000000
3 2 2 1 0.00015500000000000
5 4 2 2 0.00007800000000000
3 2 2 1 0.00016800000000000
6 5 4 2 0.00001200000000000
4 3 2 2 0.00015900000000000
3 2 2 1 0.00159100000000000
6 5 4 2 0.00001000000000000
4 3 2 2 0.00011700000000000
3 2 2 1 0.00083100000000000
3 2 2 1 0.00093400000000000
5 4 2 2 0.00000700000000000
6 5 4 2 0.00001100000000000
5 4 2 2 0.00000700000000000
7 6 3 2 0.00001300000000000
7 6 3 2 0.00000700000000000
6 5 4 2 0.00001000000000000
7 6 3 2 0.00001900000000000
5 4 2 2 0.00000600000000000
6 5 4 2 0.00001100000000000
6 5 4 2 0.00000600000000000
4 3 2 2 0.00014600000000000
7 6 5 2 0.00000700000000000
7 6 5 2 0.00000700000000000
3 2 2 1 0.00184400000000000
7 6 2 2 0.00000700000000000
8 7 6 2 0.00000900000000000
8 7 6 2 0.00000700000000000
8 7 6 2 0.00000600000000000
8 7 6 2 0.00000800000000000
5 4 2 2 0.00000600000000000
8 7 6 2 0.00000600000000000
8 7 6 2 0.00000700000000000
8 7 6 2 0.00000600000000000
8 7 6 2 0.00000800000000000
6 5 4 2 0.00000600000000000
7 6 5 2 0.00000900000000000
4 3 2 2 0.00008900000000000
9 8 3 2 0.00000900000000000
9 8 3 2 0.00000900000000000
7 6 5 2 0.00000700000000000
9 8 3 2 0.00000900000000000
9 8 3 2 0.00000900000000000
8 7 6 2 0.00000700000000000
7 6 2 2 0.00001100000000000
6 5 4 2 0.00001400000000000
5 4 3 2 0.00000600000000000
9 8 4 2 0.00001100000000000
9 8 3 2 0.00000900000000000
10 9 3 2 0.00001000000000000
8 7 6 2 0.00000700000000000
9 8 3 2 0.00001200000000000
4 3 2 2 0.00085100000000000
10 9 3 2 0.00001000000000000
10 9 8 2 0.00001000000000000
6 5 4 2 0.00001100000000000
9 8 7 2 0.00000900000000000
9 8 4 2 0.00000900000000000
11 10 4 2 0.00001800000000000
10 9 3 2 0.00001000000000000
3 2 2 1 0.00102200000000000
10 9 3 2 0.00001000000000000
5 4 3 2 0.00023900000000000
11 10 4 2 0.00001700000000000
4 3 2 2 0.00066500000000000
11 10 4 2 0.00001700000000000
9 8 3 2 0.00000900000000000
11 10 4 2 0.00001300000000000
11 10 9 2 0.00001100000000000
5 4 3 2 0.00000700000000000
10 9 8 2 0.00000900000000000
10 9 3 2 0.00001300000000000
10 9 3 2 0.00001000000000000
12 11 10 2 0.00001600000000000
11 10 4 2 0.00001900000000000
12 11 10 2 0.00001200000000000
12 11 10 2 0.00001200000000000
11 10 4 2 0.00002000000000000
4 3 2 2 0.00021400000000000
11 10 5 2 0.00001300000000000
10 9 3 2 0.00001200000000000
12 11 10 2 0.00001400000000000
13 12 4 2 0.00001200000000000
12 11 10 2 0.00001100000000000
13 12 5 2 0.00001200000000000
13 12 5 2 0.00001200000000000
14 13 12 2 0.00001700000000000
14 13 12 2 0.00001700000000000
14 13 12 2 0.00001400000000000
13 12 11 2 0.00001900000000000
12 11 10 2 0.00001500000000000
13 12 6 2 0.00001300000000000
13 12 4 2 0.00001200000000000
14 13 12 2 0.00001400000000000
12 11 10 2 0.00001900000000000
14 13 12 2 0.00001400000000000
15 14 13 2 0.00002400000000000
10 9 8 2 0.00001200000000000
15 14 7 2 0.00001500000000000
12 11 10 2 0.00001900000000000
15 14 13 2 0.00001700000000000
5 4 3 2 0.00006700000000000
15 14 6 2 0.00001500000000000
14 13 12 2 0.00001400000000000
15 14 13 2 0.00002100000000000
14 13 12 2 0.00001400000000000
15 14 6 2 0.00001500000000000
13 12 6 2 0.00001200000000000
11 10 4 2 0.00001400000000000
14 13 12 2 0.00002100000000000
14 13 12 2 0.00001400000000000
15 14 6 2 0.00002000000000000
11 10 4 2 0.00001500000000000
15 14 6 2 0.00001500000000000
