Nodos Aristas Frontera |CMF| Segundos
3500 183363 1122 2 0.55664100000000005
4000 285439 443 2 0.20713100000000001
4000 486736 1032 2 0.56749300000000003
4000 608411 773 2 0.42141400000000001
3500 433875 3498 2 2.13108599999999981
3500 670594 1909 2 1.02019400000000005
4500 775484 882 2 0.46518700000000002
4500 398641 4336 2 3.91392000000000007
3500 907074 2660 2 1.74116800000000005
4500 569248 4102 2 3.68364599999999998
4000 1114098 2283 2 1.51252900000000001
4500 1290604 1796 2 1.29651399999999994
3500 2303788 2971 2 2.12192299999999978
3500 1422066 1878 2 1.09333400000000003
3500 1443321 1863 2 1.09936699999999998
4000 1265167 2607 2 1.93808800000000003
5000 93608 392 2 0.17871999999999999
5000 416956 1148 2 0.60658000000000001
3500 1899478 2476 2 1.60383800000000010
4000 2031271 2757 2 2.07753299999999985
3500 2211789 2744 2 1.93644700000000003
3500 2245351 2790 2 1.95433199999999996
4500 1672000 1644 2 1.14274699999999996
4500 1738548 2861 2 2.41757400000000011
5000 1464380 1721 2 1.23854799999999998
4000 2524664 2758 2 2.09327500000000022
4000 2723325 2985 2 2.37626999999999988
5000 1063276 4998 2 5.18240899999999982
4500 2274923 3589 2 3.41416899999999979
5000 2616935 2546 2 1.89691199999999993
5000 2096141 1851 2 1.39679200000000003
5000 2062626 2298 2 1.81042299999999989
4000 3076534 3272 2 2.74461399999999989
4500 2784035 2800 2 2.08259699999999981
5000 2641829 3084 2 2.70801399999999992
4000 3848718 3948 2 3.34529699999999997
5000 2110290 4377 2 4.26292600000000022
4500 3235685 4310 2 4.01199700000000004
4500 4409102 4132 2 3.52051699999999990
5000 3792365 4978 2 4.45297099999999979
