Nodos Aristas Frontera |CMF| Segundos
3500 3500 2 1 0.00980600000000000
3500 3500 2 1 0.00979000000000000
3500 3500 2 1 0.00899800000000000
3500 3500 2 1 0.00993400000000000
3500 3500 2 1 0.00880000000000000
4000 4000 2 1 0.00454300000000000
4000 4000 2 1 0.00525900000000000
4000 4000 2 1 0.00535200000000000
4000 4000 2 1 0.00528900000000000
4000 4000 2 1 0.00502600000000000
4000 4000 2 1 0.00497200000000000
4000 4000 2 1 0.00544600000000000
4500 4500 2 1 0.00586600000000000
4500 4500 2 1 0.00580400000000000
4500 4500 2 1 0.00568500000000000
4500 4500 2 1 0.00576200000000000
4500 4500 2 1 0.00593800000000000
4500 4500 2 1 0.00585000000000000
4500 4500 2 1 0.00562700000000000
4500 4500 2 1 0.00802000000000000
4500 4500 2 1 0.00627500000000000
5000 5000 2 1 0.00574500000000000
5000 5000 2 1 0.00502200000000000
5000 5000 2 1 0.00577900000000000
5000 5000 2 1 0.00761000000000000
5000 5000 2 1 0.00601400000000000
5000 5000 2 1 0.00580200000000000
5000 5000 2 1 0.00680300000000000
5000 5000 2 1 0.00650100000000000
5000 5000 2 1 0.00660600000000000
5000 5000 2 1 0.00582400000000000
5500 5500 2 1 0.00822800000000000
5500 5500 2 1 0.00813400000000000
5500 5500 2 1 0.00640600000000000
5500 5500 2 1 0.00676900000000000
5500 5500 2 1 0.00682700000000000
5500 5500 2 1 0.00635700000000000
5500 5500 2 1 0.00639700000000000
5500 5500 2 1 0.00711700000000000
5500 5500 2 1 0.00623000000000000
5500 5500 2 1 0.01119100000000000
6000 6000 2 1 0.00780300000000000
6000 6000 2 1 0.00911400000000000
6000 6000 2 1 0.00903100000000000
6000 6000 2 1 0.00892300000000000
6000 6000 2 1 0.00764900000000000
6000 6000 2 1 0.00664400000000000
6000 6000 2 1 0.00665400000000000
6000 6000 2 1 0.00853200000000000
6000 6000 2 1 0.00820100000000000
6000 6000 2 1 0.00666900000000000
6500 6500 2 1 0.00775300000000000
6500 6500 2 1 0.00894100000000000
6500 6500 2 1 0.00867900000000000
6500 6500 2 1 0.00841300000000000
6500 6500 2 1 0.00689700000000000
6500 6500 2 1 0.01079200000000000
6500 6500 2 1 0.01022700000000000
6500 6500 2 1 0.01013600000000000
6500 6500 2 1 0.01019000000000000
6500 6500 2 1 0.00857900000000000
3500 3500 2 1 0.01171700000000000
3500 3500 2 1 0.01171500000000000
3500 3500 2 1 0.01125300000000000
4000 4000 2 1 0.01070700000000000
3500 3500 2 1 0.00948200000000000
4000 4000 2 1 0.01280900000000000
4000 4000 2 1 0.01247900000000000
3500 3500 2 1 0.01224100000000000
4500 4500 2 1 0.01450500000000000
7000 7000 2 1 0.00846900000000000
7000 7000 2 1 0.00822800000000000
7000 7000 2 1 0.00901100000000000
7000 7000 2 1 0.00970800000000000
7000 7000 2 1 0.01016200000000000
7000 7000 2 1 0.00932100000000000
7000 7000 2 1 0.00868100000000000
7000 7000 2 1 0.02172100000000000
7000 7000 2 1 0.01954500000000000
7000 7000 2 1 0.01050900000000000
7500 7500 2 1 0.00983300000000000
7500 7500 2 1 0.00713100000000000
7500 7500 2 1 0.02229200000000000
7500 7500 2 1 0.00722200000000000
7500 7500 2 1 0.00895100000000000
7500 7500 2 1 0.00962900000000000
7500 7500 2 1 0.01110100000000000
7500 7500 2 1 0.00801100000000000
7500 7500 2 1 0.00843500000000000
8000 8000 2 1 0.00857400000000000
8000 8000 2 1 0.00822300000000000
8000 8000 2 1 0.00964300000000000
8500 8500 2 1 0.00899100000000000
8500 8500 2 1 0.01087700000000000
8500 8500 2 1 0.01030700000000000
8500 8500 2 1 0.01098700000000000
8500 8500 2 1 0.01015100000000000
8500 8500 2 1 0.01127000000000000
8500 8500 2 1 0.01172100000000000
8500 8500 2 1 0.01184600000000000
8500 8500 2 1 0.01081200000000000
9000 9000 2 1 0.01264300000000000
9000 9000 2 1 0.01084200000000000
9000 9000 2 1 0.01021700000000000
9000 9000 2 1 0.01315800000000000
9000 9000 2 1 0.01275300000000000
9000 9000 2 1 0.01069600000000000
9000 9000 2 1 0.01466100000000000
9000 9000 2 1 0.01401000000000000
9000 9000 2 1 0.01618300000000000
9000 9000 2 1 0.00999900000000000
9500 9500 2 1 0.01237300000000000
9500 9500 2 1 0.01274100000000000
9500 9500 2 1 0.01268000000000000
9500 9500 2 1 0.02109500000000000
9500 9500 2 1 0.01073300000000000
9500 9500 2 1 0.00998400000000000
9500 9500 2 1 0.01163300000000000
9500 9500 2 1 0.01105900000000000
9500 9500 2 1 0.00962300000000000
9500 9500 2 1 0.01102600000000000
10000 10000 2 1 0.01243700000000000
10000 10000 2 1 0.00946000000000000
10000 10000 2 1 0.01277300000000000
10000 10000 2 1 0.01215400000000000
10000 10000 2 1 0.01028200000000000
10000 10000 2 1 0.01028500000000000
10000 10000 2 1 0.00939000000000000
10000 10000 2 1 0.00989300000000000
10000 10000 2 1 0.00799200000000000
10000 10000 2 1 0.00795100000000000
8000 8000 2 1 0.01503900000000000
8000 8000 2 1 0.01701000000000000
8000 8000 2 1 0.01669100000000000
7500 7500 2 1 0.01604700000000000
8000 8000 2 1 0.01741900000000000
8000 8000 2 1 0.01884600000000000
8000 8000 2 1 0.02410200000000000
8000 8000 2 1 0.01934000000000000
8500 8500 2 1 0.01213000000000000
