Nodos Aristas Frontera |CMF| Segundos
3500 1147129 763880 874 150.58365699999998810
3500 1147129 763880 874 152.93697000000000230
3500 1147129 763880 874 153.13705799999999613
3500 1147129 763880 874 153.33208799999999883
3500 1147129 763880 874 153.74372299999998859
3500 1147129 763880 874 154.60720499999999333
3500 1147129 763880 874 157.14469600000001037
3500 1147129 763880 874 157.15829999999999700
3500 1147129 763880 874 159.16229500000000030
3500 1147129 763880 874 163.69193599999999833
4000 1498504 998005 999 236.37659700000000385
4000 1498504 998005 999 242.64247700000001373
4000 1498504 998005 999 244.98242600000000380
4000 1498504 998005 999 250.30609999999998649
4000 1498504 998005 999 257.19202599999999848
4000 1498504 998005 999 256.85103700000001936
4000 1498504 998005 999 263.48101400000001604
4000 1498504 998005 999 264.36400700000001507
4000 1498504 998005 999 265.86596600000001445
4000 1498504 998005 999 269.05655699999999797
4500 1896754 1263380 1124 355.23165999999997666
4500 1896754 1263380 1124 359.46955400000001646
4500 1896754 1263380 1124 368.65737200000000939
4500 1896754 1263380 1124 376.20925799999997707
4500 1896754 1263380 1124 348.64322099999998272
4500 1896754 1263380 1124 345.67957699999999477
4500 1896754 1263380 1124 348.13778500000000804
4500 1896754 1263380 1124 351.40529099999997698
4500 1896754 1263380 1124 364.84063600000001770
4500 1896754 1263380 1124 370.94235200000002806
5000 2341879 1560005 1249 403.42424299999998993
5000 2341879 1560005 1249 406.00073900000001004
5000 2341879 1560005 1249 403.84235999999998512
5000 2341879 1560005 1249 410.34235699999999269
5000 2341879 1560005 1249 403.58752299999997604
5000 2341879 1560005 1249 400.21079700000001367
5000 2341879 1560005 1249 400.82660499999997228
5000 2341879 1560005 1249 395.04148700000001782
5000 2341879 1560005 1249 402.22821299999998246
5000 2341879 1560005 1249 484.69540799999998626
