Nodos Aristas Frontera |CMF| Segundos
3500 10494 77 3 0.01234000000000000
3500 10494 76 3 0.00877700000000000
3500 10494 78 3 0.00903300000000000
3500 10494 70 3 0.00968400000000000
3500 10494 88 4 0.00974600000000000
3500 10494 84 3 0.00953800000000000
3500 10494 81 3 0.00958000000000000
3500 10494 67 3 0.00942400000000000
3500 10494 84 3 0.01019600000000000
3500 10494 83 3 0.01025700000000000
4000 11994 70 3 0.00937700000000000
4000 11994 84 3 0.00936300000000000
4000 11994 72 3 0.00931800000000000
4000 11994 79 3 0.00947200000000000
4000 11994 58 3 0.00787700000000000
4000 11994 81 4 0.00999500000000000
4000 11994 87 3 0.01014300000000000
4000 11994 81 3 0.01009300000000000
4000 11994 78 3 0.00953800000000000
4000 11994 86 3 0.01039600000000000
4500 13494 107 3 0.01156400000000000
4500 13494 85 3 0.01070200000000000
4500 13494 91 4 0.01069300000000000
4500 13494 98 3 0.01203800000000000
4500 13494 107 3 0.01203500000000000
4500 13494 78 4 0.01283000000000000
4500 13494 69 3 0.01295400000000000
4500 13494 81 3 0.01442100000000000
4500 13494 84 3 0.01251500000000000
4500 13494 74 3 0.01044000000000000
5000 14994 75 3 0.00786900000000000
5000 14994 82 3 0.01035100000000000
5000 14994 86 3 0.00821100000000000
5000 14994 109 3 0.01030200000000000
5000 14994 71 3 0.00646700000000000
5000 14994 87 4 0.00691800000000000
5000 14994 76 3 0.00706500000000000
5000 14994 74 3 0.00755000000000000
5000 14994 72 3 0.00750400000000000
5000 14994 92 3 0.00881700000000000
