Nodos Aristas Frontera |CMF| Segundos
4500 13494 85 3 0.09020700000000000
3500 10494 58 3 0.04779500000000000
3500 10494 64 3 0.04895200000000000
3500 10494 62 4 0.05307100000000000
3500 10494 70 3 0.05523500000000000
3500 10494 68 3 0.05673500000000000
3500 10494 65 3 0.05822900000000000
3500 10494 70 3 0.06178800000000000
3500 10494 89 3 0.06415000000000000
3500 10494 91 3 0.06587400000000000
3500 10494 95 3 0.06766800000000001
4000 11994 68 3 0.05701500000000000
4000 11994 70 3 0.05754200000000000
4000 11994 63 3 0.06000400000000000
4000 11994 69 4 0.05995500000000000
4000 11994 84 3 0.06674500000000000
4000 11994 82 3 0.06820600000000000
4000 11994 80 4 0.06850100000000001
4000 11994 89 3 0.06949900000000001
4000 11994 81 3 0.07092000000000000
4000 11994 87 3 0.07172099999999999
4500 13494 71 3 0.07286100000000000
4500 13494 87 3 0.07824800000000000
4500 13494 98 3 0.09912400000000000
4500 13494 107 3 0.07250500000000000
4500 13494 72 3 0.05878900000000000
4500 13494 47 3 0.05794400000000000
4500 13494 76 3 0.07693500000000000
4500 13494 73 3 0.07567400000000001
4500 13494 78 4 0.08268399999999999
5000 14994 70 3 0.06555100000000000
5000 14994 86 3 0.06952500000000000
5000 14994 109 3 0.08647100000000001
5000 14994 91 3 0.09368300000000000
5000 14994 84 4 0.09199900000000000
5000 14994 60 3 0.05948500000000000
5000 14994 65 3 0.06078000000000000
5000 14994 64 3 0.06982099999999999
5000 14994 72 3 0.07356200000000000
5000 14994 78 3 0.07364500000000000
