Nodos Aristas Frontera |CMF| Segundos
4000 3999 129 2 0.12335599999999999
4000 3999 129 2 0.12461100000000000
4000 3999 129 2 0.12474800000000000
4000 3999 129 2 0.12555600000000000
4000 3999 129 2 0.12535800000000000
4000 3999 129 2 0.12642800000000001
4000 3999 129 2 0.12740399999999999
4000 3999 129 2 0.12723300000000001
4000 3999 129 2 0.12801399999999999
4000 3999 129 2 0.12876799999999999
4500 4499 409 2 0.54861000000000004
4500 4499 409 2 0.55247100000000005
4500 4499 409 2 0.55550400000000000
4500 4499 409 2 0.62015100000000001
4500 4499 409 2 0.52532999999999996
4500 4499 409 2 0.52379200000000004
4500 4499 409 2 0.53110999999999997
4500 4499 409 2 0.56974899999999995
4500 4499 409 2 0.57408000000000003
4500 4499 408 2 0.57076700000000002
5500 5499 423 2 0.68809600000000004
5500 5499 422 2 0.67761300000000002
5500 5499 611 2 1.12098399999999998
5500 5499 611 2 1.12260200000000010
5500 5499 423 2 0.69706699999999999
3500 3499 3498 2 4.39493899999999993
3500 3499 3498 2 4.39378099999999971
3500 3499 3498 2 4.39584699999999984
3500 3499 3498 2 4.39783200000000019
3500 3499 3498 2 4.40134899999999973
3500 3499 3498 2 4.45382600000000028
3500 3499 3498 2 4.46870800000000035
3500 3499 3498 2 4.47510500000000011
5500 5499 611 2 1.13617799999999991
5500 5499 1833 2 3.78100799999999992
3500 3499 3498 2 5.23415199999999992
3500 3499 3498 2 5.29065600000000025
5500 5499 1833 2 3.77655900000000022
6500 6499 97 2 0.15896099999999999
6500 6499 97 2 0.13053400000000001
6500 6499 97 2 0.16317899999999999
6500 6499 97 2 0.13230900000000001
5500 5499 1833 2 3.76567300000000005
6500 6499 97 2 0.13086999999999999
6500 6499 97 2 0.16079900000000000
6500 6499 97 2 0.13692499999999999
6500 6499 97 2 0.13524900000000001
6500 6499 97 2 0.16577300000000000
6500 6499 97 2 0.13379400000000000
6000 5999 857 2 1.78113400000000000
6000 5999 856 2 1.76112299999999999
6000 5999 857 2 1.76763200000000009
6000 5999 857 2 1.76730300000000007
6000 5999 856 2 1.76621899999999998
6000 5999 857 2 1.76829600000000009
6000 5999 856 2 1.77165100000000009
6000 5999 856 2 1.77509300000000003
6000 5999 857 2 1.78109800000000007
6000 5999 856 2 2.08934499999999979
5500 5499 1833 2 3.80468399999999995
5000 4999 4998 2 10.70953300000000041
5000 4999 4998 2 10.74277700000000024
5000 4999 4998 2 10.74829700000000088
5000 4999 4998 2 10.77943600000000046
5000 4999 4998 2 10.72718399999999939
5000 4999 4998 2 10.71951299999999918
5000 4999 4998 2 10.72849000000000075
5000 4999 4998 2 10.73463399999999979
5000 4999 4998 2 10.73186800000000041
5000 4999 4998 2 10.75804600000000022
8000 7999 421 2 1.10518399999999994
8000 7999 421 2 1.09091200000000010
8000 7999 421 2 1.06626599999999994
8000 7999 421 2 1.09797600000000006
7000 6999 2332 2 7.11606100000000019
7000 6999 2333 2 7.10451099999999958
7000 6999 2332 2 7.11980699999999977
7000 6999 2332 2 7.09707099999999969
7000 6999 2332 2 7.10018999999999956
7000 6999 2333 2 7.15665599999999991
7000 6999 2332 2 7.11673299999999998
7000 6999 2332 2 7.10848800000000036
7000 6999 2332 2 7.19519700000000029
7000 6999 2333 2 7.71056200000000036
8000 7999 421 2 1.11654399999999998
8000 7999 421 2 1.10299600000000009
8000 7999 421 2 1.10400199999999993
8000 7999 421 2 1.10409399999999991
8000 7999 421 2 1.11578299999999997
8500 8499 2832 2 11.07260800000000067
8500 8499 2832 2 11.06560499999999969
8500 8499 2832 2 11.04776299999999978
8500 8499 2833 2 11.05891800000000025
8500 8499 2833 2 11.04104599999999969
8500 8499 2832 2 11.10105700000000084
8500 8499 2833 2 11.07485499999999945
8500 8499 2832 2 11.05107699999999937
8500 8499 2832 2 11.05502800000000008
8500 8499 2832 2 11.93063199999999924
9500 9499 413 2 1.32345000000000002
9500 9499 413 2 1.36635400000000007
9500 9499 1357 2 5.46633600000000008
9500 9499 413 2 1.30926100000000001
9500 9499 1357 2 5.53294100000000011
9500 9499 1357 2 5.84274999999999967
7500 7499 7498 2 27.53261499999999984
7500 7499 7498 2 27.97473300000000052
9500 9499 413 2 1.31774799999999992
7500 7499 7498 2 27.40199199999999990
7500 7499 7498 2 29.76706799999999831
9500 9499 1357 2 5.52096599999999960
9500 9499 1357 2 5.53378999999999976
10000 9999 909 2 3.58252699999999979
10000 9999 303 2 1.08299999999999996
7500 7499 7498 2 27.55302000000000007
7500 7499 7498 2 27.53183200000000141
7500 7499 7498 2 27.56260599999999883
7500 7499 7498 2 27.55176399999999859
7500 7499 7498 2 27.54909200000000169
9500 9499 1357 2 6.02345600000000037
7500 7499 7498 2 27.63500300000000109
10000 9999 1111 2 4.76271100000000036
10000 9999 1111 2 4.80914299999999972
10000 9999 908 2 3.55587000000000009
10000 9999 1111 2 4.83273499999999956
10000 9999 1111 2 4.83701799999999960
10000 9999 1111 2 4.77910799999999991
8000 7999 7998 2 31.87194600000000122
10000 9999 3333 2 15.65061999999999998
10000 9999 3333 2 16.24702600000000174
9000 8999 8998 2 44.53406600000000282
9000 8999 8998 2 44.64873200000000253
9000 8999 8998 2 44.79485400000000084
9000 8999 8998 2 43.73418900000000065
9000 8999 8998 2 43.88668499999999995
9000 8999 8998 2 43.94626000000000232
9000 8999 8998 2 44.17889900000000125
9000 8999 8998 2 44.14416899999999799
9000 8999 8998 2 44.42419000000000295
9000 8999 8998 2 44.52344099999999827
