Nodos Aristas Frontera |CMF| Segundos
3500 4542999 70846 27 18.67248800000000131
3500 4572736 73906 28 18.88128299999999982
3500 4794415 91122 33 20.41749300000000034
4000 5869820 80093 27 23.42160700000000162
3500 5301281 151902 50 26.56806999999999874
4000 6215014 100358 32 26.17471400000000159
4500 6868362 68340 22 26.70974500000000162
4500 7490841 87710 26 30.29001500000000036
4500 7546209 98580 29 30.79739999999999966
4500 7828469 115649 33 33.05194800000000299
5000 8378002 75017 22 33.11727100000000235
5000 8749880 81679 23 34.90732299999999810
4000 7212961 243915 68 40.32534199999999913
5000 10096889 158641 39 45.61063699999999699
5000 10191113 156104 38 46.38759499999999747
5000 10345558 170632 41 48.05609499999999912
4500 9676847 608472 145 93.71041099999999346
4000 7743615 730187 197 99.73993400000000520
4000 7791757 887603 241 122.35458400000000267
3500 6002456 991353 316 129.79873000000000616
