Nodos Aristas Frontera |CMF| Segundos
4000 3999 27 2 0.04252900000000000
3500 3499 18 2 0.02875000000000000
3500 3499 20 2 0.02974400000000000
3500 3499 18 2 0.02845800000000000
3500 3499 20 2 0.02993300000000000
3500 3499 21 2 0.03049900000000000
3500 3499 21 2 0.03201900000000000
3500 3499 23 2 0.03240600000000000
3500 3499 24 2 0.03321300000000000
3500 3499 23 2 0.03329700000000000
3500 3499 23 2 0.03286000000000000
4000 3999 16 2 0.03255600000000000
4000 3999 18 2 0.03364900000000000
4000 3999 23 2 0.03526900000000000
4000 3999 21 2 0.03505000000000000
4000 3999 20 2 0.03526800000000000
4000 3999 24 2 0.03591100000000000
4000 3999 23 2 0.03582800000000000
4000 3999 23 2 0.03851300000000000
4000 3999 24 2 0.03953800000000000
4500 4499 21 2 0.03564900000000000
4500 4499 18 2 0.03310200000000000
4500 4499 22 2 0.03486200000000000
4500 4499 18 2 0.03557000000000000
4500 4499 21 2 0.03750600000000000
4500 4499 25 2 0.04102900000000000
4500 4499 17 2 0.03636400000000000
4500 4499 23 2 0.03977300000000000
4500 4499 21 2 0.03776000000000000
4500 4499 21 2 0.03857800000000000
5000 4999 19 2 0.03606400000000000
5000 4999 21 2 0.03758300000000000
5000 4999 16 2 0.03975500000000000
5000 4999 20 2 0.03625400000000000
5000 4999 22 2 0.04444200000000000
5000 4999 19 2 0.02832100000000000
5000 4999 24 2 0.03014100000000000
5000 4999 22 2 0.03014300000000000
5000 4999 14 2 0.03261600000000000
5000 4999 23 2 0.03738800000000000
