Nodos Aristas Frontera |CMF| Segundos
3500 183363 1122 2 2.15554300000000021
4000 608411 752 2 1.72750200000000009
4000 486736 1022 2 2.36449700000000007
4000 285439 425 2 2.29688099999999995
4500 775484 871 2 2.37372100000000019
3500 670594 1876 2 3.82879399999999981
3500 433875 3498 2 5.89996999999999971
3500 907074 2660 2 5.88535499999999967
3500 1443321 1863 2 4.05364500000000039
3500 1422066 1835 2 4.06922799999999985
4000 1114098 2283 2 5.50325099999999967
4500 1290604 1773 2 5.25724400000000003
4000 1265167 2604 2 6.60387599999999964
3500 1899478 2476 2 5.59963299999999986
5000 93608 384 2 0.79958700000000005
4500 398641 4336 2 12.04761000000000060
3500 2211789 2744 2 6.12183100000000024
4500 569248 4102 2 11.64454399999999978
3500 2245351 2790 2 6.34689100000000028
5000 416956 1101 2 2.61945700000000015
4000 2031271 2757 2 6.97552199999999978
4500 1672000 1644 2 4.74530100000000044
4000 2723325 2985 2 8.08334800000000087
4500 1738548 2811 2 8.59315600000000046
5000 1464380 1721 2 5.14085000000000036
4000 3076534 3262 2 8.71384399999999992
4500 2274923 3589 2 9.61991199999999935
5000 2096141 1846 2 5.69273200000000035
5000 2616935 2546 2 7.92390900000000009
4000 3848718 3948 2 10.26532399999999967
5000 2062626 2294 2 7.15484999999999971
3500 2303788 2945 2 6.83782300000000021
5000 2641829 3057 2 8.65826700000000038
4000 2524664 2758 2 7.69604399999999966
5000 1063276 4998 2 13.80069100000000049
4500 3235685 4310 2 12.52470100000000031
4500 4409102 4132 2 10.93095199999999956
5000 2110290 4377 2 11.82698500000000053
4500 2784035 2800 2 10.18546500000000066
5000 3792365 4978 2 13.08677100000000060
