Nodos Aristas Frontera |CMF| Segundos
3500 2304885 13706 10 7.65819199999999967
3500 2440833 14354 10 8.01443199999999933
4000 2901386 14902 10 9.57065200000000083
3500 3787449 41840 19 14.76923500000000011
3500 3306381 27166 14 11.60137800000000041
4500 3503114 14542 9 11.57989800000000002
4000 3519505 21721 12 11.98175400000000046
4000 3669004 22508 12 12.41422099999999951
4000 3636176 22553 12 12.82630499999999962
3500 3708229 36853 17 13.21765300000000032
4000 4420472 36180 16 15.49248700000000056
4500 5331278 33962 14 18.69725100000000140
4500 5494555 37500 15 19.34778199999999870
5000 5804579 31059 13 20.24614400000000103
5000 6295323 33491 13 22.17614899999999878
4500 6392292 55169 19 23.68511399999999867
4500 6535176 56367 19 24.37331700000000012
5000 7627871 58858 19 28.51337099999999936
5000 8035757 68421 21 30.67854099999999917
5000 8137920 72594 22 31.12449700000000163
