Nodos Aristas Frontera |CMF| Segundos
3500 3499 3498 2 0.01944800000000000
3500 3499 3498 2 0.02260800000000000
3500 3499 3498 2 0.02162900000000000
3500 3499 3498 2 0.02232800000000000
3500 3499 3498 2 0.01953300000000000
3500 3499 3498 2 0.02297500000000000
3500 3499 3498 2 0.01965700000000000
3500 3499 3498 2 0.01944400000000000
4000 3999 129 2 0.01316100000000000
4000 3999 129 2 0.01276400000000000
4000 3999 129 2 0.01555400000000000
4000 3999 129 2 0.01594300000000000
4000 3999 129 2 0.01563200000000000
4000 3999 129 2 0.01558900000000000
4000 3999 129 2 0.01553100000000000
4000 3999 129 2 0.01563600000000000
4000 3999 129 2 0.01537000000000000
4000 3999 129 2 0.01558500000000000
4500 4499 409 2 0.01841400000000000
4500 4499 409 2 0.01872100000000000
4500 4499 409 2 0.01849900000000000
3500 3499 3498 2 0.01943200000000000
3500 3499 3498 2 0.02368500000000000
4500 4499 409 2 0.02592900000000000
4500 4499 409 2 0.01666100000000000
4500 4499 409 2 0.01685900000000000
4500 4499 408 2 0.01958800000000000
4500 4499 409 2 0.01948300000000000
4500 4499 409 2 0.01899700000000000
4500 4499 409 2 0.01914900000000000
5000 4999 4998 2 0.02355500000000000
5000 4999 4998 2 0.02845100000000000
5000 4999 4998 2 0.02943800000000000
5000 4999 4998 2 0.02498800000000000
5000 4999 4998 2 0.02276100000000000
5000 4999 4998 2 0.02784400000000000
5000 4999 4998 2 0.02781100000000000
5000 4999 4998 2 0.02794400000000000
5000 4999 4998 2 0.02733800000000000
5000 4999 4998 2 0.02675000000000000
5500 5499 1833 2 0.02746300000000000
5500 5499 423 2 0.02476500000000000
5500 5499 611 2 0.02315600000000000
5500 5499 422 2 0.02199800000000000
5500 5499 611 2 0.02314500000000000
5500 5499 611 2 0.01911700000000000
5500 5499 423 2 0.01906800000000000
5500 5499 1833 2 0.02523900000000000
6000 5999 857 2 0.02572500000000000
6000 5999 857 2 0.02584900000000000
6000 5999 856 2 0.02512700000000000
5500 5499 1833 2 0.03558800000000000
5500 5499 1833 2 0.03136800000000000
6000 5999 857 2 0.03375700000000000
6000 5999 856 2 0.02523100000000000
6000 5999 856 2 0.02525900000000000
6000 5999 857 2 0.02157900000000000
6000 5999 856 2 0.02493800000000000
6000 5999 857 2 0.02082300000000000
6000 5999 856 2 0.02436700000000000
6500 6499 97 2 0.02849100000000000
6500 6499 97 2 0.02809000000000000
6500 6499 97 2 0.02875800000000000
6500 6499 97 2 0.02629800000000000
6500 6499 97 2 0.02591100000000000
6500 6499 97 2 0.02595700000000000
6500 6499 97 2 0.02611000000000000
6500 6499 97 2 0.02505200000000000
6500 6499 97 2 0.02543700000000000
6500 6499 97 2 0.02122000000000000
7000 6999 2332 2 0.02641400000000000
7000 6999 2333 2 0.03262300000000000
7000 6999 2333 2 0.03295300000000000
7000 6999 2333 2 0.03236100000000000
7000 6999 2332 2 0.03167200000000000
7000 6999 2332 2 0.03956700000000000
7000 6999 2332 2 0.03200800000000000
7000 6999 2332 2 0.02552900000000000
7000 6999 2332 2 0.03058700000000000
7500 7499 7498 2 0.03673800000000000
7500 7499 7498 2 0.04332800000000000
7500 7499 7498 2 0.04559800000000000
7500 7499 7498 2 0.04616400000000000
7500 7499 7498 2 0.04506300000000000
7500 7499 7498 2 0.04485500000000000
7500 7499 7498 2 0.04611500000000000
7500 7499 7498 2 0.04618800000000000
8000 7999 421 2 0.03414400000000000
8000 7999 421 2 0.03400000000000000
8000 7999 421 2 0.03365800000000000
7000 6999 2332 2 0.05368400000000000
7500 7499 7498 2 0.06275300000000000
7500 7499 7498 2 0.06924800000000000
8000 7999 421 2 0.02786900000000000
8000 7999 7998 2 0.03981000000000000
8000 7999 421 2 0.02680400000000000
8000 7999 421 2 0.03015600000000000
8000 7999 421 2 0.02981600000000000
8000 7999 421 2 0.03599100000000000
8000 7999 421 2 0.03234600000000000
8500 8499 2832 2 0.03965200000000000
8500 8499 2832 2 0.03239200000000000
8500 8499 2833 2 0.03336200000000000
8500 8499 2832 2 0.03243500000000000
8500 8499 2833 2 0.03941600000000000
8500 8499 2833 2 0.03364700000000000
8500 8499 2832 2 0.03257700000000000
8500 8499 2832 2 0.03945700000000000
8500 8499 2832 2 0.03262000000000000
8500 8499 2832 2 0.03917600000000000
9000 8999 8998 2 0.05587100000000000
9000 8999 8998 2 0.05975200000000000
9000 8999 8998 2 0.04622100000000000
9000 8999 8998 2 0.05852300000000000
9000 8999 8998 2 0.04965200000000000
9000 8999 8998 2 0.08321900000000000
9000 8999 8998 2 0.06824400000000000
9000 8999 8998 2 0.07276900000000000
9000 8999 8998 2 0.05757400000000000
9000 8999 8998 2 0.05827200000000000
9500 9499 413 2 0.03955400000000000
9500 9499 1357 2 0.03300400000000000
9500 9499 1357 2 0.04047500000000000
9500 9499 413 2 0.04051200000000000
9500 9499 413 2 0.03192200000000000
9500 9499 1357 2 0.03336000000000000
9500 9499 1357 2 0.03234600000000000
9500 9499 1357 2 0.03212400000000000
9500 9499 1357 2 0.04357800000000000
9500 9499 413 2 0.03040900000000000
10000 9999 909 2 0.03335200000000000
10000 9999 1111 2 0.04188700000000000
10000 9999 1111 2 0.04148700000000000
10000 9999 303 2 0.04415000000000000
10000 9999 3333 2 0.04604000000000000
10000 9999 1111 2 0.03347000000000000
10000 9999 3333 2 0.03670800000000000
10000 9999 908 2 0.03289500000000000
10000 9999 1111 2 0.03763100000000000
10000 9999 1111 2 0.03478000000000000
