Nodos Aristas Frontera |CMF| Segundos
3500 183363 1122 2 0.25178600000000001
4000 285439 443 2 0.50097499999999995
3500 433875 3498 2 0.33698400000000001
4500 398641 4336 2 0.43480400000000002
4000 486736 1032 2 0.75796500000000000
4500 775484 882 2 1.56592200000000004
4500 569248 4102 2 0.68487500000000001
3500 670594 1909 2 0.93096199999999996
4000 608411 773 2 1.34102000000000010
3500 907074 2660 2 1.27050799999999997
4000 1114098 2283 2 1.86189399999999994
4000 1265167 2607 2 2.14291900000000002
4500 1290604 1796 2 2.47492400000000012
5000 93608 392 2 0.10649300000000000
3500 1422066 1878 2 3.26236900000000007
3500 1443321 1863 2 3.44042899999999996
5000 1063276 4998 2 1.22635399999999994
5000 416956 1148 2 0.48306199999999999
4500 1672000 1644 2 4.49794200000000011
3500 1899478 2476 2 4.20041099999999989
4500 1738548 2861 2 2.96566000000000018
4000 2031271 2757 2 4.17055799999999977
5000 1464380 1721 2 3.03994099999999978
3500 2211789 2744 2 5.45682899999999993
3500 2303788 2971 2 5.24033800000000038
3500 2245351 2790 2 5.51203899999999969
4500 2274923 3589 2 4.02597100000000019
5000 2110290 4377 2 2.82630900000000018
5000 2641829 3084 2 4.35921999999999965
4000 2524664 2758 2 6.73112800000000000
4000 2723325 2985 2 6.75966100000000036
5000 2062626 2298 2 3.97502300000000020
5000 2616935 2546 2 5.23932199999999959
4500 3235685 4310 2 5.24644200000000005
5000 2096141 1851 2 5.42090199999999989
4500 2784035 2800 2 6.43184199999999962
5000 3792365 4978 2 5.70098199999999977
4000 3076534 3272 2 8.41846600000000045
4000 3848718 3948 2 10.41496500000000047
4500 4409102 4132 2 11.74460000000000015
