Nodos Aristas Frontera |CMF| Segundos
3500 2304885 13706 10 6.87470599999999976
3500 2440833 11670 8 7.60090899999999969
4000 2901386 13530 9 8.90010799999999946
3500 3306381 25376 13 10.83283999999999914
4500 3503114 14542 9 10.99213800000000063
4000 3519505 18251 10 11.32406300000000066
4000 3636176 22553 12 11.71425999999999945
4000 3669004 20891 11 12.19061800000000062
3500 3708229 34771 16 12.37282000000000082
3500 3787449 37673 17 13.28173600000000043
4000 4420472 36180 16 15.28661600000000043
4500 5331278 31777 13 18.13538799999999895
4500 5494555 32649 13 19.42406400000000133
5000 5804579 28806 12 19.24824999999999875
5000 6295323 33491 13 20.84728899999999996
4500 6392292 49639 17 23.81203400000000059
4500 6535176 56367 19 23.59713199999999844
5000 7627871 55908 18 27.47177599999999842
5000 8035757 62234 19 30.06915100000000152
5000 8137920 63165 19 30.24990899999999883
