Nodos Aristas Frontera |CMF| Segundos
16 15 5 2 0.00004700000000000
15 14 5 2 0.00045200000000000
17 16 5 2 0.00004400000000000
15 14 5 2 0.00002000000000000
15 14 5 2 0.00001800000000000
16 15 5 2 0.00006600000000000
16 15 5 2 0.01065500000000000
16 15 5 2 0.00003700000000000
17 16 5 2 0.00001300000000000
15 14 5 2 0.00002300000000000
16 15 5 2 0.01052500000000000
17 16 5 2 0.00001800000000000
18 17 5 2 0.00002300000000000
18 17 5 2 0.00001800000000000
17 16 5 2 0.00001400000000000
17 16 5 2 0.00001700000000000
18 17 5 2 0.00002300000000000
18 17 5 2 0.00001700000000000
15 14 5 2 0.00001900000000000
18 17 5 2 0.00001800000000000
18 17 5 2 0.00001800000000000
19 18 5 2 0.00001900000000000
18 17 5 2 0.00002300000000000
16 15 5 2 0.00282000000000000
19 18 5 2 0.00001900000000000
19 18 5 2 0.00002400000000000
19 18 5 2 0.00001900000000000
19 18 5 2 0.00002500000000000
19 18 5 2 0.00001900000000000
15 14 5 2 0.01305800000000000
17 16 5 2 0.00001900000000000
20 19 5 2 0.00002000000000000
15 14 5 2 0.00037500000000000
20 19 5 2 0.00001900000000000
18 17 5 2 0.00002300000000000
20 19 5 2 0.00002000000000000
20 19 5 2 0.00001900000000000
20 19 5 2 0.00002000000000000
19 18 5 2 0.00002800000000000
18 17 5 2 0.00002300000000000
20 19 5 2 0.00002800000000000
21 20 5 2 0.00002800000000000
16 15 5 2 0.00002400000000000
21 20 5 2 0.00003900000000000
21 20 5 2 0.00002000000000000
19 18 5 2 0.00002500000000000
21 20 5 2 0.00002100000000000
21 20 5 2 0.00003100000000000
21 20 5 2 0.00002000000000000
21 20 5 2 0.00002000000000000
20 19 5 2 0.00002800000000000
22 21 5 2 0.00002200000000000
20 19 5 2 0.00002600000000000
22 21 5 2 0.00002300000000000
21 20 5 2 0.00003000000000000
22 21 5 2 0.00002300000000000
22 21 5 2 0.00002300000000000
19 18 5 2 0.00002300000000000
22 21 5 2 0.00002300000000000
16 15 5 2 0.00290000000000000
23 22 5 2 0.00002400000000000
22 21 5 2 0.00003100000000000
22 21 5 2 0.00002300000000000
23 22 5 2 0.00002500000000000
20 19 5 2 0.00002600000000000
23 22 5 2 0.00002300000000000
22 21 5 2 0.00002900000000000
23 22 5 2 0.00002500000000000
23 22 5 2 0.00002400000000000
17 16 5 2 0.00001700000000000
23 22 5 2 0.00002400000000000
18 17 5 2 0.00002400000000000
19 18 5 2 0.00002400000000000
23 22 5 2 0.00002500000000000
24 23 5 2 0.00002500000000000
24 23 5 2 0.00002600000000000
21 20 5 2 0.00003300000000000
15 14 5 2 0.00111500000000000
16 15 5 2 0.01073300000000000
23 22 5 2 0.00003100000000000
24 23 5 2 0.00003100000000000
17 16 5 2 0.00003900000000000
24 23 5 2 0.00002600000000000
24 23 5 2 0.00002500000000000
24 23 5 2 0.00003200000000000
25 24 5 2 0.00002600000000000
23 22 5 2 0.00003000000000000
22 21 5 2 0.00002900000000000
25 24 5 2 0.00003200000000000
25 24 5 2 0.00003200000000000
25 24 5 2 0.00003200000000000
25 24 5 2 0.00002600000000000
25 24 5 2 0.00003600000000000
26 25 5 2 0.00002800000000000
26 25 5 2 0.00002800000000000
21 20 5 2 0.00003800000000000
26 25 5 2 0.00004200000000000
26 25 5 2 0.00002800000000000
24 23 5 2 0.00003200000000000
26 25 5 2 0.00002900000000000
26 25 5 2 0.00002700000000000
26 25 5 2 0.00004200000000000
25 24 5 2 0.00003400000000000
27 26 5 2 0.00003000000000000
27 26 5 2 0.00002900000000000
22 21 5 2 0.00003100000000000
27 26 5 2 0.00002900000000000
27 26 5 2 0.00003600000000000
26 25 5 2 0.00004100000000000
27 26 5 2 0.00002900000000000
27 26 5 2 0.00002800000000000
27 26 5 2 0.00004100000000000
28 27 5 2 0.00003100000000000
27 26 5 2 0.00004100000000000
24 23 5 2 0.00003200000000000
28 27 5 2 0.00003000000000000
28 27 5 2 0.00003000000000000
20 19 5 2 0.00002400000000000
28 27 5 2 0.00003000000000000
27 26 5 2 0.00004200000000000
28 27 5 2 0.00003000000000000
29 28 5 2 0.00003200000000000
28 27 5 2 0.00003900000000000
24 23 5 2 0.00009500000000000
29 28 5 2 0.00003100000000000
28 27 5 2 0.00003900000000000
26 25 5 2 0.00004500000000000
27 26 5 2 0.00003600000000000
29 28 5 2 0.00003100000000000
25 24 5 2 0.00004000000000000
25 24 5 2 0.00003400000000000
29 28 5 2 0.00004000000000000
29 28 5 2 0.00003200000000000
23 22 5 2 0.00009900000000000
29 28 5 2 0.00003200000000000
29 28 5 2 0.00004000000000000
30 29 5 2 0.00003300000000000
30 29 5 2 0.00003200000000000
28 27 5 2 0.00003900000000000
24 23 5 2 0.00016700000000000
30 29 5 2 0.00003300000000000
29 28 5 2 0.00004000000000000
30 29 5 2 0.00004200000000000
30 29 5 2 0.00004200000000000
31 30 5 2 0.00004700000000000
31 30 5 2 0.00003900000000000
31 30 5 2 0.00003900000000000
29 28 5 2 0.00004000000000000
30 29 5 2 0.00004100000000000
30 29 5 2 0.00004200000000000
31 30 5 2 0.00005200000000000
