Nodos Aristas Frontera |CMF| Segundos
3500 1147129 763880 874 145.20185799999998721
3500 1147129 763880 874 145.32105400000000373
3500 1147129 763880 874 146.25950000000000273
3500 1147129 763880 874 147.47327699999999595
3500 1147129 763880 874 163.12702100000001337
3500 1147129 763880 874 163.44948299999998653
3500 1147129 763880 874 163.66971300000000156
3500 1147129 763880 874 164.05471600000001331
3500 1147129 763880 874 164.07275400000000332
3500 1147129 763880 874 164.13434699999999111
4000 1498504 998005 999 220.71994399999999814
4000 1498504 998005 999 221.00446999999999775
4000 1498504 998005 999 221.87389799999999696
4000 1498504 998005 999 222.16504900000001044
4000 1498504 998005 999 222.53795500000001084
4000 1498504 998005 999 252.91381100000000970
4000 1498504 998005 999 253.05749000000000137
4000 1498504 998005 999 253.59777500000001282
4000 1498504 998005 999 254.64505099999999516
4000 1498504 998005 999 254.82856699999999250
4500 1896754 1263380 1124 325.42933699999997543
4500 1896754 1263380 1124 370.54163199999999279
4500 1896754 1263380 1124 370.56044900000000553
4500 1896754 1263380 1124 370.64071400000000267
4500 1896754 1263380 1124 322.12562100000002374
4500 1896754 1263380 1124 322.54791299999999410
4500 1896754 1263380 1124 322.33819599999998218
4500 1896754 1263380 1124 324.15544899999997597
4500 1896754 1263380 1124 367.31733400000001666
4500 1896754 1263380 1124 365.51287899999999809
5000 2341879 1560005 1249 373.57264500000002272
5000 2341879 1560005 1249 424.25981000000001586
5000 2341879 1560005 1249 425.16363000000001193
5000 2341879 1560005 1249 425.18455899999997882
5000 2341879 1560005 1249 379.47982200000001285
5000 2341879 1560005 1249 379.95784099999997352
5000 2341879 1560005 1249 379.87063100000000304
5000 2341879 1560005 1249 380.53460699999999406
5000 2341879 1560005 1249 431.30863599999997859
5000 2341879 1560005 1249 431.97769199999999046
