Nodos Aristas Frontera |CMF| Segundos
3500 1147129 763877 874 145.84568400000000565
3500 1147129 763877 874 146.16107299999998759
3500 1147129 763877 874 146.20631700000001274
3500 1147129 763877 874 146.93812800000000607
3500 1147129 763877 874 147.15074999999998795
3500 1147129 763877 874 147.47157200000000898
3500 1147129 763877 874 147.61762699999999882
3500 1147129 763877 874 147.78650799999999776
3500 1147129 763877 874 147.99012700000000109
3500 1147129 763877 874 148.13876300000001152
4000 1498504 998002 999 226.25027600000001371
4000 1498504 998002 999 225.80396500000000515
4000 1498504 998002 999 225.89704199999999901
4000 1498504 998002 999 226.10010199999999259
4000 1498504 998002 999 226.18485999999998626
4000 1498504 998002 999 226.35346000000001254
4000 1498504 998002 999 226.87609699999998725
4000 1498504 998002 999 227.80553299999999695
4000 1498504 998002 999 228.21836300000001074
4000 1498504 998002 999 228.50377700000001369
4500 1896754 1263377 1124 335.65746200000000954
4500 1896754 1263377 1124 335.75663900000000694
4500 1896754 1263377 1124 336.52761900000001560
4500 1896754 1263377 1124 337.24193100000002232
4500 1896754 1263377 1124 329.25536199999999099
4500 1896754 1263377 1124 333.85460599999998976
4500 1896754 1263377 1124 333.47828600000002552
4500 1896754 1263377 1124 334.51016900000001897
4500 1896754 1263377 1124 331.84654000000000451
4500 1896754 1263377 1124 333.66125399999998535
5000 2341879 1560002 1249 381.16410700000000134
5000 2341879 1560002 1249 381.60550899999998364
5000 2341879 1560002 1249 386.57333299999999099
5000 2341879 1560002 1249 387.86484799999999495
5000 2341879 1560002 1249 386.48262999999997191
5000 2341879 1560002 1249 390.84334100000000944
5000 2341879 1560002 1249 393.30312500000002274
5000 2341879 1560002 1249 393.58376099999998132
5000 2341879 1560002 1249 395.25506000000001450
5000 2341879 1560002 1249 470.68767700000000787
