Nodos Aristas Frontera |CMF| Segundos
3500 3499 21 2 0.03658900000000000
3500 3499 4 2 0.01811300000000000
3500 3499 5 2 0.01916900000000000
3500 3499 6 2 0.02069100000000000
3500 3499 7 2 0.02088400000000000
3500 3499 12 2 0.02186900000000000
3500 3499 8 2 0.02167000000000000
3500 3499 12 2 0.02501800000000000
3500 3499 12 2 0.02475800000000000
3500 3499 16 2 0.02637700000000000
4000 3999 3 2 0.01587000000000000
4000 3999 6 2 0.01652300000000000
4000 3999 8 2 0.01777400000000000
4000 3999 8 2 0.01930500000000000
4000 3999 8 2 0.02057700000000000
4000 3999 7 2 0.02053000000000000
4000 3999 10 2 0.02273300000000000
4000 3999 19 2 0.02756400000000000
4000 3999 15 2 0.02739900000000000
4000 3999 18 2 0.02963500000000000
4500 4499 5 2 0.01757400000000000
4500 4499 3 1 0.01729400000000000
4500 4499 9 2 0.02100500000000000
4500 4499 12 2 0.02445900000000000
4500 4499 13 2 0.02705400000000000
4500 4499 7 2 0.01993000000000000
4500 4499 7 2 0.02128500000000000
4500 4499 16 2 0.02618000000000000
4500 4499 6 2 0.01874200000000000
4500 4499 7 2 0.02002200000000000
5000 4999 4 2 0.01915200000000000
5000 4999 8 2 0.02360200000000000
5000 4999 9 2 0.02559400000000000
5000 4999 9 2 0.02162700000000000
5000 4999 9 2 0.02053400000000000
5000 4999 21 2 0.04082100000000000
5000 4999 11 2 0.02323000000000000
5000 4999 12 2 0.02448700000000000
5000 4999 16 2 0.02835600000000000
5000 4999 17 2 0.03021500000000000
