Nodos Aristas Frontera |CMF| Segundos
3500 4572736 71455 27 19.18880400000000108
3500 4542999 63215 24 18.37192800000000048
3500 4794415 85847 31 20.34570000000000078
3500 5301281 142865 47 25.93035499999999871
4000 5869820 74562 25 23.51809799999999839
4000 6215014 94454 30 25.75216299999999947
4500 6868362 65108 21 26.88391599999999926
4500 7490841 84213 25 30.41906200000000027
4500 7546209 95140 28 30.80626399999999876
4500 7828469 102000 29 32.85569499999999721
5000 8378002 68422 20 33.30007499999999965
5000 8749880 81853 23 35.04179400000000300
4000 7212961 233430 65 40.59927100000000166
5000 10096889 138723 34 45.50141099999999739
5000 10191113 147905 36 46.63943199999999933
5000 10345558 175028 42 48.53023199999999804
4500 9676847 608254 145 94.76234499999999628
4000 7743615 712565 192 99.34316599999999653
3500 6002456 980104 312 130.13304400000001237
4000 7791757 867021 235 124.16459299999999644
