Nodos Aristas Frontera |CMF| Segundos
3500 2304885 13706 10 7.12580900000000028
3500 2440833 11670 8 7.67482699999999962
4000 2901386 13530 9 9.12700899999999926
3500 3306381 25376 13 11.40234599999999965
4500 3503114 14542 9 11.25971999999999973
4000 3519505 18251 10 11.42328900000000047
4000 3669004 20891 11 12.46621500000000005
4000 3636176 22553 12 12.47716999999999921
3500 3708229 34771 16 13.13593499999999992
3500 3787449 37673 17 13.12550500000000042
4000 4420472 36180 16 15.04925300000000021
4500 5331278 31777 13 18.30467499999999959
4500 5494555 32649 13 19.22505999999999915
5000 5804579 28806 12 19.63608199999999826
5000 6295323 33491 13 21.22510300000000072
4500 6392292 49639 17 23.84790900000000136
4500 6535176 56367 19 23.73798299999999983
5000 7627871 55908 18 27.52230399999999833
5000 8035757 62234 19 30.92398800000000136
5000 8137920 63165 19 30.90212599999999910
