Nodos Aristas Frontera |CMF| Segundos
4000 332309 760 4 0.56395899999999999
3500 375200 982 4 0.87026499999999996
4000 441048 764 3 1.06444399999999995
3500 521942 1648 5 1.13451700000000000
3500 700840 1769 4 1.78058800000000006
3500 808488 2470 5 1.83911300000000000
3500 887453 3230 6 2.20994400000000013
4000 909883 2439 5 2.01820500000000003
4000 925074 2503 5 2.23808900000000000
5000 66225 85 2 0.10488699999999999
3500 1037303 3740 6 2.45987899999999993
4500 749548 1492 4 1.83255499999999993
4500 1158262 2774 5 2.77573800000000004
3500 1272577 4619 6 3.15411000000000019
4000 1247974 3398 5 3.21297699999999997
4500 1794102 5136 6 4.99541099999999982
3500 1406642 5178 6 3.83878699999999995
5000 697195 960 3 1.56724700000000006
4000 1669693 5324 6 4.69468499999999977
4000 1728136 6392 7 4.63218399999999964
4000 1748679 5567 6 4.94270399999999999
5000 772089 1411 4 1.89674100000000001
3500 1911293 10221 9 5.41476199999999963
4000 1924810 6119 6 5.42368399999999973
3500 2011809 9641 8 5.71850500000000039
4500 1641788 4669 6 4.54171000000000014
4000 2240623 8230 7 6.52064500000000002
4500 2196909 6200 6 5.63236199999999965
4500 2020280 6618 7 5.32285400000000042
5000 2442818 5234 5 5.90926300000000015
4500 2943876 9662 7 8.77107400000000048
5000 2959504 7489 6 7.03179399999999966
4500 3110955 12975 9 9.23606400000000072
5000 3033739 8929 7 7.26826699999999981
5000 2876705 8524 7 7.35548800000000025
4500 2991655 9782 7 7.49943999999999988
4500 3296109 10825 7 10.02565500000000043
5000 3707275 12503 8 9.55896899999999938
5000 3705136 10875 7 9.76801099999999956
5000 4058992 11944 7 11.76976999999999940
