Nodos Aristas Frontera |CMF| Segundos
3500 3499 6 2 0.01714600000000000
3500 3499 5 2 0.01812200000000000
3500 3499 12 2 0.01814300000000000
3500 3499 7 2 0.01700900000000000
3500 3499 12 2 0.02005100000000000
3500 3499 8 2 0.02043100000000000
3500 3499 12 2 0.02450800000000000
3500 3499 16 2 0.02533900000000000
4000 3999 7 2 0.01479700000000000
4000 3999 3 2 0.01608200000000000
4000 3999 6 2 0.01656100000000000
4000 3999 8 2 0.01727500000000000
4000 3999 8 2 0.01894100000000000
4000 3999 8 2 0.02035700000000000
4000 3999 10 2 0.02223600000000000
4000 3999 15 2 0.02680800000000000
4000 3999 19 2 0.02685100000000000
4000 3999 18 2 0.02879800000000000
4500 4499 3 1 0.01749200000000000
4500 4499 9 2 0.02179500000000000
4500 4499 13 2 0.02722500000000000
3500 3499 4 2 0.01416700000000000
4500 4499 12 2 0.03269700000000000
3500 3499 21 2 0.03946000000000000
4500 4499 6 2 0.01627400000000000
4500 4499 5 2 0.01628700000000000
4500 4499 7 2 0.02028900000000000
4500 4499 7 2 0.01793700000000000
4500 4499 7 2 0.02145500000000000
4500 4499 16 2 0.02608400000000000
5000 4999 8 2 0.02030700000000000
5000 4999 4 2 0.01951000000000000
5000 4999 9 2 0.02092000000000000
5000 4999 9 2 0.01757800000000000
5000 4999 12 2 0.02038300000000000
5000 4999 9 2 0.02118900000000000
5000 4999 17 2 0.02416400000000000
5000 4999 11 2 0.02164400000000000
5000 4999 16 2 0.02750700000000000
5000 4999 21 2 0.03792800000000000
