Nodos Aristas Frontera |CMF| Segundos
3500 10494 89 3 0.00924400000000000
3500 10494 70 3 0.00598600000000000
3500 10494 64 3 0.00546400000000000
3500 10494 70 3 0.00594800000000000
3500 10494 62 4 0.00558000000000000
3500 10494 68 3 0.00586500000000000
3500 10494 91 3 0.00634600000000000
3500 10494 58 3 0.00601300000000000
3500 10494 65 3 0.00643300000000000
3500 10494 95 3 0.00715700000000000
4000 11994 70 3 0.00533800000000000
4000 11994 63 3 0.00544300000000000
4000 11994 82 3 0.00591000000000000
4000 11994 81 3 0.00594600000000000
4000 11994 69 4 0.00545700000000000
4000 11994 89 3 0.00586900000000000
4000 11994 68 3 0.00495900000000000
4000 11994 80 4 0.00574400000000000
4000 11994 87 3 0.00587300000000000
4000 11994 84 3 0.00519900000000000
4500 13494 107 3 0.00520200000000000
4500 13494 71 3 0.00586200000000000
4500 13494 87 3 0.00606600000000000
4500 13494 85 3 0.00633600000000000
4500 13494 98 3 0.00627600000000000
4500 13494 76 3 0.00790700000000000
4500 13494 78 4 0.00576300000000000
4500 13494 73 3 0.00550100000000000
4500 13494 72 3 0.00690000000000000
4500 13494 47 3 0.00469100000000000
5000 14994 70 3 0.00452900000000000
5000 14994 60 3 0.00380300000000000
5000 14994 109 3 0.00612800000000000
5000 14994 84 4 0.00457500000000000
5000 14994 86 3 0.00482100000000000
5000 14994 65 3 0.00339400000000000
5000 14994 78 3 0.00404400000000000
5000 14994 64 3 0.00335200000000000
5000 14994 72 3 0.00299600000000000
5000 14994 91 3 0.00326300000000000
