Nodos Aristas Frontera |CMF| Segundos
4000 3999 8 2 0.02422800000000000
3500 3499 5 2 0.01745400000000000
3500 3499 4 2 0.01745200000000000
3500 3499 8 2 0.01920700000000000
3500 3499 8 2 0.01918900000000000
3500 3499 6 2 0.01800800000000000
3500 3499 12 2 0.02226800000000000
3500 3499 12 2 0.02192500000000000
3500 3499 12 2 0.02193100000000000
3500 3499 16 2 0.02469100000000000
3500 3499 21 2 0.02806300000000000
4000 3999 3 2 0.01708200000000000
4000 3999 6 2 0.01842400000000000
4000 3999 7 2 0.01903000000000000
4000 3999 8 2 0.01972500000000000
4000 3999 8 2 0.02065100000000000
4000 3999 10 2 0.02107800000000000
4000 3999 15 2 0.02360600000000000
4000 3999 19 2 0.02471900000000000
4000 3999 18 2 0.02741900000000000
4500 4499 5 2 0.01839400000000000
4500 4499 3 1 0.01827900000000000
4500 4499 9 2 0.02248500000000000
4500 4499 12 2 0.02449400000000000
4500 4499 13 2 0.02554900000000000
4500 4499 16 2 0.02333800000000000
4500 4499 7 2 0.02187800000000000
4500 4499 6 2 0.02132200000000000
4500 4499 7 2 0.02184700000000000
4500 4499 7 2 0.02084100000000000
5000 4999 8 2 0.02415000000000000
5000 4999 4 2 0.02020300000000000
5000 4999 9 2 0.02348800000000000
5000 4999 9 2 0.01635700000000000
5000 4999 11 2 0.01786800000000000
5000 4999 12 2 0.02496400000000000
5000 4999 9 2 0.02194000000000000
5000 4999 16 2 0.02331800000000000
5000 4999 21 2 0.03410000000000000
5000 4999 17 2 0.03015200000000000
