Nodos Aristas Frontera |CMF| Segundos
4000 683959 3998 2 0.36519900000000000
4500 1569339 4498 2 1.06777000000000011
3500 968691 3498 2 0.60480800000000001
3500 1034724 3498 2 0.57614699999999996
3500 1065931 3498 2 0.61772300000000002
4500 546875 4498 2 0.20244999999999999
3500 1288276 3498 2 0.86874399999999996
4500 521339 4498 2 0.23096600000000000
5000 149100 4998 2 0.05438300000000000
3500 1436875 3498 2 0.96242399999999995
4000 1853775 3998 2 1.40900899999999996
3500 2125476 3498 2 1.70969100000000007
3500 2585019 3498 2 2.38780899999999985
3500 2710851 3498 2 2.77681099999999992
3500 2876739 3498 2 3.15544700000000011
5000 2486400 4998 2 1.50119699999999989
3500 3058011 3498 2 3.99299600000000021
4000 3173719 3998 2 3.01558500000000018
4000 3345519 3998 2 3.31916099999999981
4000 3358399 3998 2 3.34877599999999997
4000 3613116 3998 2 3.96187699999999987
4000 3761856 3998 2 4.25829199999999997
4000 3745984 3998 2 4.28028399999999998
4500 4780539 4498 2 4.69298500000000018
5000 3481104 4998 2 2.27361399999999980
4000 3847119 3998 2 4.57459099999999985
5000 3243244 4998 2 2.13483000000000001
4500 4140900 4498 2 4.30283000000000015
5000 1998156 4998 2 1.30471699999999990
4000 3968671 3998 2 5.08952500000000008
4500 4203171 4498 2 3.59757900000000008
4500 4268619 4498 2 3.96710099999999999
5000 3319056 4998 2 2.63258500000000017
4500 5013659 4498 2 6.51345300000000016
4500 5045076 4498 2 7.11976000000000031
4500 5060736 4498 2 6.01187999999999967
5000 5265936 4998 2 5.20061600000000013
5000 5969100 4998 2 5.35480300000000042
5000 6249039 4998 2 7.41632900000000017
5000 6156364 4998 2 8.31142299999999956
