Nodos Aristas Frontera |CMF| Segundos
3500 5301281 151902 50 1.42939100000000008
3500 4542999 70846 27 0.92494699999999996
3500 4572736 73906 28 0.96011500000000005
3500 4794415 91122 33 1.03661800000000004
4000 5869820 80093 27 1.17271499999999995
4000 6215014 100358 32 1.29734400000000005
4500 6868362 68340 22 1.24584000000000006
4500 7546209 98580 29 1.52429199999999998
4000 7212961 243915 68 2.29216899999999990
4500 7490841 87710 26 1.57426299999999997
4500 7828469 115649 33 1.67269800000000002
5000 8378002 75017 22 1.58439799999999997
5000 8749880 81679 23 1.69591899999999995
3500 6002456 991353 316 12.01373399999999947
5000 10096889 158641 39 2.06511099999999992
5000 10191113 156104 38 2.13837799999999989
5000 10345558 170632 41 2.18388500000000008
4000 7743615 730187 197 7.14367999999999981
4500 9676847 608472 145 5.60909299999999966
4000 7791757 887603 241 9.32114499999999957
