Nodos Aristas Frontera |CMF| Segundos
4500 8998 4500 2 0.00148900000000000
4500 8998 4500 2 0.00153300000000000
4500 8998 4500 2 0.00152300000000000
4500 8998 4500 2 0.00153300000000000
4500 8998 4500 2 0.00152400000000000
4500 8998 4500 2 0.00151000000000000
4500 8998 4500 2 0.00152000000000000
5000 9998 5000 2 0.00170600000000000
5000 9998 5000 2 0.00175600000000000
5000 9998 5000 2 0.00170100000000000
5000 9998 5000 2 0.00165500000000000
5000 9998 5000 2 0.00170100000000000
3500 6998 3500 2 0.02249900000000000
3500 6998 3500 2 0.02519900000000000
3500 6998 3500 2 0.02470600000000000
3500 6998 3500 2 0.02438300000000000
5000 9998 5000 2 0.00164900000000000
3500 6998 3500 2 0.02465600000000000
3500 6998 3500 2 0.02594100000000000
3500 6998 3500 2 0.02850400000000000
5000 9998 5000 2 0.00155500000000000
3500 6998 3500 2 0.03179200000000000
3500 6998 3500 2 0.03501000000000000
3500 6998 3500 2 0.03177000000000000
4000 7998 4000 2 0.02989700000000000
4000 7998 4000 2 0.02802400000000000
4000 7998 4000 2 0.03020700000000000
4000 7998 4000 2 0.03114800000000000
4000 7998 4000 2 0.03273300000000000
4000 7998 4000 2 0.03184500000000000
5500 10998 5500 2 0.00181700000000000
4000 7998 4000 2 0.02925000000000000
4000 7998 4000 2 0.02805500000000000
4000 7998 4000 2 0.03393000000000000
4000 7998 4000 2 0.01729900000000000
6000 11998 6000 2 0.00208500000000000
6000 11998 6000 2 0.00209100000000000
4500 8998 4500 2 0.01500600000000000
4500 8998 4500 2 0.02368200000000000
6500 12998 6500 2 0.00234000000000000
4500 8998 4500 2 0.04969500000000000
6500 12998 6500 2 0.00224100000000000
6500 12998 6500 2 0.00235100000000000
6500 12998 6500 2 0.00235600000000000
6500 12998 6500 2 0.00233000000000000
6500 12998 6500 2 0.00234600000000000
6500 12998 6500 2 0.00236200000000000
7000 13998 7000 2 0.00259900000000000
7000 13998 7000 2 0.00261900000000000
7000 13998 7000 2 0.00258300000000000
7000 13998 7000 2 0.00256800000000000
5000 9998 5000 2 0.07519600000000000
5000 9998 5000 2 0.07509800000000000
7000 13998 7000 2 0.00246000000000000
5000 9998 5000 2 0.07720299999999999
7000 13998 7000 2 0.00259500000000000
7000 13998 7000 2 0.00256800000000000
5500 10998 5500 2 0.08586700000000000
5500 10998 5500 2 0.08356800000000000
5500 10998 5500 2 0.08100100000000000
7500 14998 7500 2 0.00300300000000000
5500 10998 5500 2 0.08532900000000000
5500 10998 5500 2 0.07791099999999999
5500 10998 5500 2 0.08306200000000000
7500 14998 7500 2 0.00298000000000000
5500 10998 5500 2 0.04010000000000000
5500 10998 5500 2 0.06255100000000000
5500 10998 5500 2 0.06793200000000001
7500 14998 7500 2 0.00328200000000000
6000 11998 6000 2 0.03822700000000000
6000 11998 6000 2 0.02809000000000000
6000 11998 6000 2 0.03290600000000000
6000 11998 6000 2 0.03608000000000000
6000 11998 6000 2 0.03336400000000000
6000 11998 6000 2 0.02557100000000000
6000 11998 6000 2 0.03209100000000000
6000 11998 6000 2 0.04483100000000000
8000 15998 8000 2 0.00300000000000000
6500 12998 6500 2 0.09578900000000000
6500 12998 6500 2 0.09511500000000001
6500 12998 6500 2 0.09381100000000001
7000 13998 7000 2 0.10547800000000000
7000 13998 7000 2 0.10524500000000001
7000 13998 7000 2 0.10928300000000001
8500 16998 8500 2 0.00360000000000000
7500 14998 7500 2 0.08266000000000000
7500 14998 7500 2 0.05562300000000000
7500 14998 7500 2 0.05873800000000000
7500 14998 7500 2 0.07111300000000000
7500 14998 7500 2 0.09229000000000000
7500 14998 7500 2 0.07726200000000000
7500 14998 7500 2 0.09007300000000000
8000 15998 8000 2 0.08250500000000000
8000 15998 8000 2 0.08143599999999999
8000 15998 8000 2 0.08726299999999999
8000 15998 8000 2 0.06035600000000000
8000 15998 8000 2 0.06181100000000000
8000 15998 8000 2 0.06919200000000000
8000 15998 8000 2 0.06646100000000001
8000 15998 8000 2 0.09522899999999999
8000 15998 8000 2 0.08708500000000000
8500 16998 8500 2 0.11086900000000000
8500 16998 8500 2 0.00283300000000000
8500 16998 8500 2 0.12001000000000001
8500 16998 8500 2 0.12490999999999999
8500 16998 8500 2 0.12692100000000001
8500 16998 8500 2 0.12158300000000000
8500 16998 8500 2 0.12096400000000000
8500 16998 8500 2 0.12347900000000001
8500 16998 8500 2 0.11982700000000000
9000 17998 9000 2 0.13572200000000001
9000 17998 9000 2 0.11813500000000000
9000 17998 9000 2 0.11931200000000000
9000 17998 9000 2 0.12689100000000000
9000 17998 9000 2 0.11203800000000000
9000 17998 9000 2 0.10226700000000000
9000 17998 9000 2 0.10136700000000000
9000 17998 9000 2 0.04607700000000000
9000 17998 9000 2 0.03715000000000000
9500 18998 9500 2 0.00468600000000000
9000 17998 9000 2 0.05538200000000000
9500 18998 9500 2 0.05230200000000000
9500 18998 9500 2 0.05903500000000000
9500 18998 9500 2 0.08216000000000000
9500 18998 9500 2 0.04603100000000000
9500 18998 9500 2 0.03605800000000000
9500 18998 9500 2 0.07306000000000000
9500 18998 9500 2 0.05241300000000000
9500 18998 9500 2 0.06022200000000000
9500 18998 9500 2 0.02683000000000000
10000 19998 10000 2 0.01133800000000000
10000 19998 10000 2 0.01162500000000000
10000 19998 10000 2 0.01181300000000000
10000 19998 10000 2 0.01066100000000000
10000 19998 10000 2 0.01226300000000000
10000 19998 10000 2 0.01086600000000000
10000 19998 10000 2 0.01211700000000000
10000 19998 10000 2 0.01034800000000000
10000 19998 10000 2 0.00884100000000000
10000 19998 10000 2 0.01020800000000000
