Nodos Aristas Frontera |CMF| Segundos
2 1 1 1 0.00001200000000000
2 1 1 1 0.00048800000000000
3 2 2 1 0.00000200000000000
4 3 1 1 0.00000000000000000
4 3 1 1 0.00000100000000000
2 1 1 1 0.00000100000000000
3 2 1 1 0.00000500000000000
3 2 1 1 0.00000100000000000
4 3 2 1 0.00000000000000000
3 2 1 1 0.00000100000000000
4 3 3 1 0.00000000000000000
2 1 1 1 0.00000100000000000
3 2 1 1 0.00000100000000000
5 6 5 2 0.00000100000000000
2 1 1 1 0.00050000000000000
5 4 1 1 0.00000000000000000
3 2 1 1 0.00000200000000000
4 3 1 1 0.00000100000000000
2 1 1 1 0.00000000000000000
5 5 3 2 0.00000100000000000
6 5 1 1 0.00000100000000000
5 5 3 2 0.00000000000000000
3 2 1 1 0.00000200000000000
4 3 3 1 0.00000200000000000
5 5 3 2 0.00000000000000000
6 5 1 1 0.00000100000000000
6 8 5 2 0.00000000000000000
3 2 2 1 0.00000100000000000
6 7 6 2 0.00000100000000000
2 1 1 1 0.00001000000000000
7 9 7 2 0.00000100000000000
4 3 2 1 0.00000000000000000
6 5 1 1 0.00000100000000000
4 3 3 1 0.00000100000000000
7 11 7 2 0.00000100000000000
2 1 1 1 0.00000000000000000
7 13 8 2 0.00000000000000000
5 6 4 2 0.00000000000000000
6 5 2 1 0.00000000000000000
7 11 6 2 0.00000100000000000
7 11 6 2 0.00000000000000000
5 4 3 2 0.00000200000000000
4 3 3 1 0.00000100000000000
8 18 12 3 0.00000100000000000
2 1 1 1 0.00000300000000000
8 15 8 3 0.00000000000000000
8 15 9 2 0.00000000000000000
8 12 7 2 0.00000000000000000
8 13 6 2 0.00000000000000000
7 13 9 2 0.00000100000000000
8 13 7 2 0.00000000000000000
9 16 6 2 0.00000100000000000
8 13 6 2 0.00000100000000000
7 10 5 2 0.00001100000000000
6 7 2 1 0.00000000000000000
9 14 6 2 0.00000100000000000
7 9 4 2 0.00000000000000000
7 11 6 2 0.00000100000000000
5 6 5 2 0.00000000000000000
6 7 6 2 0.00000100000000000
3 2 1 1 0.00000200000000000
6 7 3 2 0.00000100000000000
9 18 8 2 0.00000000000000000
10 18 10 3 0.00000000000000000
10 24 14 3 0.00000100000000000
10 29 18 3 0.00000000000000000
8 13 8 2 0.00000000000000000
10 18 6 2 0.00000100000000000
10 16 6 2 0.00000100000000000
9 22 12 3 0.00000100000000000
9 21 10 3 0.00000000000000000
9 13 5 2 0.00000000000000000
11 22 11 3 0.00000100000000000
10 21 12 3 0.00000100000000000
10 24 15 3 0.00000000000000000
10 29 15 3 0.00000000000000000
11 31 15 3 0.00000000000000000
11 22 11 3 0.00000100000000000
11 29 17 3 0.00000100000000000
4 3 3 1 0.00000200000000000
