Nodos Aristas Frontera |CMF| Segundos
3500 375200 925 4 0.09613300000000000
4000 332309 744 4 0.08437799999999999
4000 441048 1140 5 0.11235600000000000
3500 521942 1570 5 0.10693200000000000
3500 700840 2120 5 0.19285700000000000
3500 808488 2932 6 0.23294400000000001
4000 909883 2917 6 0.26825700000000002
4000 925074 2859 6 0.26765000000000000
3500 1037303 4229 7 0.26565600000000000
5000 66225 66 3 0.01321400000000000
4500 749548 1732 5 0.20846700000000001
4500 1158262 3225 6 0.34090399999999998
3500 1272577 5373 7 0.39077699999999999
4000 1247974 4539 7 0.35750100000000001
3500 1406642 6541 8 0.36212600000000000
3500 887453 3235 6 0.73660400000000004
4000 1669693 6996 8 0.47090100000000001
4000 1728136 7091 8 0.45236799999999999
5000 697195 1477 5 0.14464199999999999
4000 1748679 6398 7 0.49590600000000001
3500 1911293 10068 9 0.52110199999999995
4500 1794102 5747 7 0.46805900000000000
4000 1924810 8063 8 0.53531499999999999
3500 2011809 10811 9 0.59283600000000003
4500 1641788 4651 6 0.39868900000000002
4500 2196909 8141 8 0.50774399999999997
4500 2020280 6644 7 0.57582900000000004
5000 772089 1669 5 0.28961100000000001
4500 2943876 12024 9 0.84587800000000002
4500 3110955 12945 9 0.86943700000000002
5000 2442818 7109 7 0.57138400000000000
4000 2240623 9371 8 0.86705399999999999
5000 2876705 9455 8 0.68330599999999997
4500 2991655 12287 9 0.71386499999999997
4500 3296109 13663 9 0.94179299999999999
5000 3033739 10109 8 0.74604899999999996
5000 2959504 9917 8 0.78391900000000003
5000 3705136 13802 9 0.82976099999999997
5000 3707275 13703 9 0.82235599999999998
5000 4058992 16605 10 0.89007099999999995
