Nodos Aristas Frontera |CMF| Segundos
4000 3999 129 2 0.01520400000000000
4500 4499 409 2 0.05842800000000000
4500 4499 409 2 0.05559200000000000
4500 4499 409 2 0.05700200000000000
4000 3999 129 2 0.01306600000000000
4000 3999 129 2 0.01265400000000000
4000 3999 129 2 0.01284100000000000
4000 3999 129 2 0.01310800000000000
4000 3999 129 2 0.01283200000000000
4000 3999 129 2 0.01323200000000000
4000 3999 129 2 0.01226200000000000
4000 3999 129 2 0.01264700000000000
4000 3999 129 2 0.01335800000000000
4500 4499 409 2 0.05939700000000000
4500 4499 409 2 0.05984800000000000
4500 4499 409 2 0.06165000000000000
4500 4499 409 2 0.06141300000000000
4500 4499 409 2 0.06145000000000000
4500 4499 408 2 0.05917500000000000
4500 4499 409 2 0.05874900000000000
5500 5499 423 2 0.08405700000000001
5500 5499 422 2 0.06639700000000000
3500 3499 3498 2 0.45793299999999998
3500 3499 3498 2 0.46073300000000000
3500 3499 3498 2 0.46460699999999999
3500 3499 3498 2 0.46430199999999999
3500 3499 3498 2 0.46864699999999998
3500 3499 3498 2 0.46933300000000000
3500 3499 3498 2 0.46895500000000001
3500 3499 3498 2 0.46920299999999998
3500 3499 3498 2 0.47016599999999997
3500 3499 3498 2 0.47235199999999999
5500 5499 611 2 0.09341200000000000
5500 5499 611 2 0.09644800000000001
5500 5499 1833 2 0.33220899999999998
5500 5499 423 2 0.06404600000000001
5500 5499 1833 2 0.32184499999999999
5500 5499 611 2 0.09682499999999999
6500 6499 97 2 0.01155700000000000
6500 6499 97 2 0.01001400000000000
6000 5999 856 2 0.14876000000000000
6500 6499 97 2 0.01008700000000000
6500 6499 97 2 0.01010700000000000
6500 6499 97 2 0.01004000000000000
6500 6499 97 2 0.00991700000000000
6000 5999 856 2 0.14908299999999999
6500 6499 97 2 0.00995300000000000
6000 5999 856 2 0.14826700000000001
6000 5999 857 2 0.15226799999999999
6000 5999 857 2 0.14881800000000001
6000 5999 856 2 0.14959900000000001
6000 5999 857 2 0.14779400000000001
6000 5999 857 2 0.14618300000000001
6500 6499 97 2 0.01098200000000000
6500 6499 97 2 0.01164200000000000
6000 5999 857 2 0.14770700000000000
5500 5499 1833 2 0.33259400000000000
6000 5999 856 2 0.14469699999999999
6500 6499 97 2 0.01074400000000000
5500 5499 1833 2 0.32102599999999998
5000 4999 4998 2 0.95555900000000005
5000 4999 4998 2 0.91689900000000002
5000 4999 4998 2 0.93031699999999995
5000 4999 4998 2 0.93523500000000004
5000 4999 4998 2 0.93535599999999997
5000 4999 4998 2 0.93851499999999999
5000 4999 4998 2 0.94333699999999998
5000 4999 4998 2 0.94876899999999997
5000 4999 4998 2 0.91981900000000005
5000 4999 4998 2 0.93189000000000000
7000 6999 2332 2 0.58760800000000002
7000 6999 2333 2 0.59403600000000001
7000 6999 2333 2 0.58475400000000000
7000 6999 2332 2 0.60132600000000003
7000 6999 2332 2 0.58487999999999996
7000 6999 2333 2 0.59978100000000001
7000 6999 2332 2 0.59876399999999996
8000 7999 421 2 0.08887900000000000
8000 7999 421 2 0.09035200000000000
7000 6999 2332 2 0.60115099999999999
8000 7999 421 2 0.08807800000000000
8000 7999 421 2 0.08906900000000000
7000 6999 2332 2 0.64168999999999998
7000 6999 2332 2 0.66464699999999999
8000 7999 421 2 0.09048299999999999
8000 7999 421 2 0.08976500000000000
8000 7999 421 2 0.08840600000000000
8000 7999 421 2 0.08504600000000000
8000 7999 421 2 0.09489000000000000
8500 8499 2833 2 0.86595900000000003
8500 8499 2832 2 0.86248599999999997
8500 8499 2833 2 0.85744799999999999
8500 8499 2832 2 0.86228300000000002
8500 8499 2832 2 0.86134999999999995
8500 8499 2832 2 0.86485599999999996
8500 8499 2833 2 0.85741800000000001
7500 7499 7498 2 1.85568299999999997
8500 8499 2832 2 0.85756699999999997
8500 8499 2832 2 0.85739699999999996
8500 8499 2832 2 0.87115100000000001
9500 9499 413 2 0.10027200000000000
9500 9499 413 2 0.09936200000000001
9500 9499 413 2 0.09696500000000000
7500 7499 7498 2 2.22479899999999997
9500 9499 1357 2 0.42184500000000003
7500 7499 7498 2 2.25077499999999997
7500 7499 7498 2 2.27513800000000010
9500 9499 1357 2 0.42192299999999999
7500 7499 7498 2 2.19721499999999992
9500 9499 1357 2 0.44042399999999998
9500 9499 413 2 0.11164700000000000
7500 7499 7498 2 2.20465499999999981
7500 7499 7498 2 2.20263000000000009
7500 7499 7498 2 2.21391399999999994
7500 7499 7498 2 2.21253499999999992
7500 7499 7498 2 2.21430900000000008
10000 9999 303 2 0.07722400000000000
9500 9499 1357 2 0.44884200000000002
10000 9999 909 2 0.28422199999999997
9500 9499 1357 2 0.44415700000000002
9500 9499 1357 2 0.45812399999999998
10000 9999 1111 2 0.38091100000000000
10000 9999 1111 2 0.37986300000000001
10000 9999 1111 2 0.37735400000000002
8000 7999 7998 2 2.55069500000000016
10000 9999 908 2 0.26698800000000000
10000 9999 1111 2 0.35562400000000000
10000 9999 1111 2 0.35810900000000001
10000 9999 3333 2 1.22806100000000007
10000 9999 3333 2 1.20412300000000005
9000 8999 8998 2 3.41507499999999986
9000 8999 8998 2 3.46999399999999980
9000 8999 8998 2 3.47047699999999981
9000 8999 8998 2 3.43893700000000013
9000 8999 8998 2 3.38395000000000001
9000 8999 8998 2 3.39804400000000006
9000 8999 8998 2 3.43656700000000015
9000 8999 8998 2 3.43715599999999988
9000 8999 8998 2 3.49691399999999986
9000 8999 8998 2 3.48618000000000006
