Nodos Aristas Frontera |CMF| Segundos
3500 1147129 763880 874 13.72264000000000017
3500 1147129 763880 874 13.41833500000000079
3500 1147129 763880 874 13.48789999999999978
3500 1147129 763880 874 13.46328399999999981
3500 1147129 763880 874 13.43689400000000056
3500 1147129 763880 874 13.48320999999999970
3500 1147129 763880 874 13.51725899999999925
3500 1147129 763880 874 13.55048900000000067
3500 1147129 763880 874 13.53392900000000054
3500 1147129 763880 874 13.59291699999999992
4000 1498504 998005 999 20.44719500000000068
4000 1498504 998005 999 20.50629999999999953
4000 1498504 998005 999 20.53467399999999898
4000 1498504 998005 999 20.55911499999999847
4000 1498504 998005 999 20.60549299999999917
4000 1498504 998005 999 20.53527700000000067
4000 1498504 998005 999 20.59751999999999938
4000 1498504 998005 999 20.55484300000000175
4000 1498504 998005 999 20.56273799999999952
4000 1498504 998005 999 20.69728999999999886
4500 1896754 1263380 1124 29.70827999999999847
4500 1896754 1263380 1124 29.75226500000000129
4500 1896754 1263380 1124 29.80694599999999994
4500 1896754 1263380 1124 30.08194400000000002
4500 1896754 1263380 1124 29.82867999999999853
4500 1896754 1263380 1124 29.16751400000000061
4500 1896754 1263380 1124 29.49902200000000008
4500 1896754 1263380 1124 29.20423999999999864
4500 1896754 1263380 1124 29.28616699999999895
4500 1896754 1263380 1124 29.26249999999999929
5000 2341879 1560005 1249 33.62277000000000271
5000 2341879 1560005 1249 33.64395900000000239
5000 2341879 1560005 1249 33.58236200000000338
5000 2341879 1560005 1249 33.68278999999999712
5000 2341879 1560005 1249 33.71816400000000158
5000 2341879 1560005 1249 33.99075700000000211
5000 2341879 1560005 1249 34.01370800000000116
5000 2341879 1560005 1249 34.04004499999999922
5000 2341879 1560005 1249 34.03034499999999696
5000 2341879 1560005 1249 34.05635500000000349
