Nodos Aristas Frontera |CMF| Segundos
4000 683959 3998 2 0.62542200000000003
3500 1034724 3498 2 0.70903600000000000
3500 1065931 3498 2 0.72679099999999996
3500 1288276 3498 2 0.79852100000000004
4500 546875 4498 2 0.51203200000000004
4500 1569339 4498 2 1.04655800000000010
4000 1853775 3998 2 1.41452200000000006
3500 2125476 3498 2 1.66663199999999989
5000 149100 4998 2 1.15063399999999993
3500 1436875 3498 2 7.49323699999999970
3500 2585019 3498 2 2.43408999999999986
3500 2876739 3498 2 3.04282699999999995
3500 3058011 3498 2 3.95797100000000013
4000 3173719 3998 2 3.05783199999999988
3500 2710851 3498 2 6.07369299999999956
3500 968691 3498 2 12.52801700000000018
4000 3358399 3998 2 3.38612499999999983
4000 3345519 3998 2 3.44693300000000002
4500 521339 4498 2 13.11359099999999955
4000 3613116 3998 2 3.88838900000000010
5000 2486400 4998 2 1.55866700000000002
4000 3745984 3998 2 4.21413200000000021
4000 3847119 3998 2 4.67783200000000043
4000 3968671 3998 2 6.85698399999999975
4000 3761856 3998 2 7.88787299999999991
5000 1998156 4998 2 1.33391600000000010
4500 4268619 4498 2 4.01155500000000043
5000 3481104 4998 2 2.82714800000000022
5000 3243244 4998 2 2.62230199999999991
4500 5013659 4498 2 6.73268100000000036
5000 3319056 4998 2 2.79816200000000004
4500 4780539 4498 2 4.76510999999999996
4500 5060736 4498 2 6.30499299999999963
4500 5045076 4498 2 8.56897999999999982
4500 4140900 4498 2 14.70310800000000029
4500 4203171 4498 2 9.13130699999999962
5000 5265936 4998 2 5.31467699999999965
5000 6249039 4998 2 7.97584599999999977
5000 6156364 4998 2 8.56952700000000078
5000 5969100 4998 2 9.66979300000000030
