Nodos Aristas Frontera |CMF| Segundos
4000 3999 3 2 0.02517100000000000
3500 3499 5 2 0.02077500000000000
3500 3499 4 2 0.02082700000000000
3500 3499 6 2 0.02102900000000000
3500 3499 8 2 0.02240700000000000
3500 3499 8 2 0.02323100000000000
3500 3499 12 2 0.02485000000000000
3500 3499 12 2 0.02516200000000000
3500 3499 12 2 0.02542400000000000
3500 3499 16 2 0.02837800000000000
3500 3499 21 2 0.03148000000000000
4000 3999 6 2 0.02256100000000000
4000 3999 7 2 0.02310100000000000
4000 3999 8 2 0.02378500000000000
4000 3999 8 2 0.02415600000000000
4000 3999 10 2 0.02544300000000000
4000 3999 8 2 0.02484900000000000
4000 3999 15 2 0.02763700000000000
4000 3999 19 2 0.02886800000000000
4000 3999 18 2 0.03142000000000000
4500 4499 5 2 0.02208400000000000
4500 4499 3 1 0.02272400000000000
4500 4499 9 2 0.02659700000000000
4500 4499 12 2 0.02753700000000000
4500 4499 13 2 0.02981800000000000
4500 4499 6 2 0.02635100000000000
4500 4499 7 2 0.02694700000000000
4500 4499 7 2 0.02671400000000000
4500 4499 7 2 0.02576000000000000
4500 4499 16 2 0.03631200000000000
5000 4999 4 2 0.02151900000000000
5000 4999 12 2 0.03114100000000000
5000 4999 8 2 0.02842300000000000
5000 4999 9 2 0.02849900000000000
5000 4999 9 2 0.02036600000000000
5000 4999 9 2 0.02138700000000000
5000 4999 21 2 0.03956000000000000
5000 4999 11 2 0.02721400000000000
5000 4999 17 2 0.03309100000000000
5000 4999 16 2 0.03335800000000000
