Nodos Aristas Frontera |CMF| Segundos
3500 2440833 14354 10 8.02027099999999926
3500 2304885 13706 10 7.57133400000000023
4000 2901386 14902 10 9.64163300000000056
3500 3306381 27166 14 11.51059099999999980
4500 3503114 14542 9 11.73247199999999957
4000 3519505 21721 12 11.84886000000000017
4000 3669004 22508 12 12.39480400000000060
4000 3636176 22553 12 12.28554199999999952
3500 3708229 36853 17 13.33531799999999912
3500 3787449 41840 19 13.57243599999999972
4000 4420472 36180 16 15.44099300000000063
4500 5331278 33962 14 18.65067700000000173
4500 5494555 37500 15 19.42175399999999996
5000 5804579 31059 13 20.34209500000000048
5000 6295323 33491 13 21.94113600000000019
4500 6392292 55169 19 23.71033200000000107
4500 6535176 56367 19 24.39771199999999851
5000 7627871 58858 19 28.45880100000000112
5000 8137920 72594 22 31.15119599999999878
5000 8035757 68421 21 30.75270300000000034
