Nodos Aristas Frontera |CMF| Segundos
2 1 1 1 0.00074300000000000
17 136 72 8 0.00018800000000000
24 276 144 12 0.00000300000000000
19 171 90 9 0.00000200000000000
14 91 49 7 0.00000200000000000
10 45 25 5 0.00000200000000000
11 55 30 5 0.00074200000000000
20 190 100 10 0.00000300000000000
30 435 225 15 0.00001000000000000
12 66 36 6 0.00000500000000000
22 231 121 11 0.00000400000000000
18 153 81 9 0.00000200000000000
4 6 4 2 0.00000200000000000
7 21 12 3 0.00052800000000000
15 105 56 7 0.00000200000000000
8 28 16 4 0.00000200000000000
16 120 64 8 0.00000300000000000
25 300 156 12 0.00015100000000000
35 595 306 17 0.00000600000000000
23 253 132 11 0.00000400000000000
40 780 400 20 0.00000900000000000
21 210 110 10 0.00000300000000000
6 15 9 3 0.00000200000000000
5 10 6 2 0.00000200000000000
50 1225 625 25 0.00001600000000000
13 78 42 6 0.00000200000000000
9 36 20 4 0.00021400000000000
3 3 2 1 0.00000100000000000
55 1485 756 27 0.00001900000000000
65 2080 1056 32 0.00003000000000000
70 2415 1225 35 0.00004000000000000
80 3160 1600 40 0.00005500000000000
85 3570 1806 42 0.00006100000000000
90 4005 2025 45 0.00007100000000000
95 4465 2256 47 0.00008800000000000
100 4950 2500 50 0.00009200000000000
45 990 506 22 0.00001600000000000
110 5995 3025 55 0.00010300000000000
120 7140 3600 60 0.00012300000000000
140 9730 4900 70 0.00023600000000000
60 1770 900 30 0.00003000000000000
150 11175 5625 75 0.00027600000000000
75 2775 1406 37 0.00027100000000000
160 12720 6400 80 0.00033000000000000
170 14365 7225 85 0.00037300000000000
180 16110 8100 90 0.00044200000000000
190 17955 9025 95 0.00051000000000000
200 19900 10000 100 0.00058800000000000
225 25200 12656 112 0.00081700000000000
130 8385 4225 65 0.00019600000000000
250 31125 15625 125 0.00110100000000000
325 52650 26406 162 0.00227100000000000
350 61075 30625 175 0.00317500000000000
375 70125 35156 187 0.00382700000000000
400 79800 40000 200 0.00405700000000000
425 90100 45156 212 0.00480300000000000
450 101025 50625 225 0.00612900000000000
475 112575 56406 237 0.00647400000000000
275 37675 18906 137 0.00153400000000000
550 150975 75625 275 0.01021400000000000
300 44850 22500 150 0.00193400000000000
600 179700 90000 300 0.01363400000000000
650 210925 105625 325 0.01747200000000000
750 280875 140625 375 0.03053200000000000
850 360825 180625 425 0.06201200000000000
900 404550 202500 450 0.07791200000000000
500 124750 62500 250 0.00875800000000000
950 450775 225625 475 0.08913900000000000
1000 499500 250000 500 0.10207400000000000
1100 604450 302500 550 0.14502399999999999
1200 719400 360000 600 0.17721500000000001
700 244650 122500 350 0.02083300000000000
1400 979300 490000 700 0.27061400000000002
800 319600 160000 400 0.03352500000000000
1500 1124250 562500 750 0.44638699999999998
1600 1279200 640000 800 0.46325400000000000
1700 1444150 722500 850 0.53786400000000001
1800 1619100 810000 900 0.72681399999999996
1900 1804050 902500 950 0.67432899999999996
2000 1999000 1000000 1000 0.92887399999999998
2250 2530125 1265625 1125 1.27068399999999992
1300 844350 422500 650 0.20815100000000000
2750 3779875 1890625 1375 2.28650399999999987
2500 3123750 1562500 1250 2.58110799999999996
3000 4498500 2250000 1500 4.20184099999999994
