Nodos Aristas Frontera |CMF| Segundos
4500 6868362 68340 22 2.49190099999999992
3500 4542999 70846 27 1.63305199999999995
3500 4572736 73906 28 1.73197200000000007
3500 4794415 91122 33 1.76557499999999989
3500 5301281 151902 50 2.51664000000000021
4000 5869820 80093 27 2.13129700000000000
4000 6215014 100358 32 2.46818800000000005
4000 7212961 243915 68 3.81577700000000020
4500 7490841 87710 26 2.79612699999999981
4500 7546209 98580 29 2.83872100000000005
4500 7828469 115649 33 3.03508699999999987
5000 8378002 75017 22 3.12647999999999993
3500 6002456 991353 316 12.46521800000000013
5000 8749880 81679 23 2.93272600000000017
5000 10191113 156104 38 3.86946600000000007
5000 10096889 158641 39 3.73163899999999993
5000 10345558 170632 41 3.97271600000000014
4000 7743615 730187 197 9.28553800000000074
4000 7791757 887603 241 11.32024999999999970
4500 9676847 608472 145 8.38725900000000024
