Nodos Aristas Frontera |CMF| Segundos
4000 3999 30 1 0.00635700000000000
4000 3999 30 1 0.01612200000000000
4000 3999 30 1 0.03206300000000000
4000 3999 30 1 0.00957800000000000
4000 3999 30 1 0.01624600000000000
4000 3999 30 1 0.03362900000000000
4000 3999 30 1 0.02222000000000000
4000 3999 30 1 0.02213100000000000
4000 3999 30 1 0.00797000000000000
4000 3999 30 1 0.02099400000000000
4500 4499 10 1 0.00183300000000000
4500 4499 10 1 0.00248300000000000
4500 4499 10 1 0.00946100000000000
4500 4499 10 1 0.00986800000000000
4500 4499 10 1 0.00272800000000000
4500 4499 10 1 0.00277800000000000
4500 4499 10 1 0.00298600000000000
4500 4499 408 1 0.08529200000000001
4500 4499 10 1 0.00357200000000000
4500 4499 10 1 0.00288300000000000
5500 5499 8 1 0.00660000000000000
5500 5499 12 1 0.00176200000000000
5500 5499 8 1 0.00139900000000000
5500 5499 422 1 0.20794799999999999
3500 3499 3498 1 0.79565500000000000
5500 5499 12 1 0.00180000000000000
3500 3499 3498 1 0.80828000000000000
3500 3499 3498 1 0.81720099999999996
3500 3499 3498 1 0.82201000000000002
3500 3499 3498 1 0.80788400000000005
5500 5499 1833 2 0.27516600000000002
3500 3499 3498 1 0.83920700000000004
3500 3499 3498 1 0.84008700000000003
3500 3499 3498 1 0.84018700000000002
3500 3499 3498 1 0.84569499999999997
3500 3499 3498 1 0.84921500000000005
5500 5499 1833 2 0.02438500000000000
5500 5499 1833 2 0.44039600000000001
5500 5499 8 1 0.00310400000000000
5500 5499 1833 2 0.50325699999999995
6000 5999 6 1 0.00362900000000000
6000 5999 857 2 0.03554100000000000
6000 5999 856 1 0.29298200000000002
6000 5999 6 1 0.00369100000000000
6000 5999 6 1 0.00810400000000000
6000 5999 6 1 0.00357300000000000
6500 6499 66 1 0.02064900000000000
6500 6499 66 1 0.01333000000000000
6000 5999 856 1 0.28685300000000002
6500 6499 66 1 0.01309300000000000
6500 6499 97 2 0.00681800000000000
6000 5999 856 1 0.29184300000000002
6500 6499 66 1 0.01406000000000000
6000 5999 856 1 0.28538400000000003
6500 6499 66 1 0.01727500000000000
6500 6499 66 1 0.01262900000000000
6500 6499 66 1 0.01347600000000000
6500 6499 66 1 0.01342800000000000
6000 5999 856 1 0.28766799999999998
6500 6499 66 1 0.01259200000000000
7000 6999 2333 2 0.16386899999999999
5000 4999 4998 1 1.78649199999999997
5000 4999 4998 1 1.79610699999999990
5000 4999 4998 1 1.87203100000000000
5000 4999 4998 1 1.81911700000000010
5000 4999 4998 1 1.98533800000000005
5000 4999 4998 1 1.92137899999999995
5000 4999 4998 1 1.97586799999999996
5000 4999 4998 1 1.98624000000000001
5000 4999 4998 1 2.20172500000000015
7000 6999 2333 2 0.85627500000000001
8000 7999 18 1 0.00796400000000000
5000 4999 4998 1 2.38724399999999992
8000 7999 18 1 0.00679500000000000
7000 6999 2333 2 0.88768100000000005
8000 7999 18 1 0.00843200000000000
8000 7999 18 1 0.00460600000000000
8000 7999 18 1 0.01336200000000000
8000 7999 18 1 0.02330200000000000
8000 7999 18 1 0.00443400000000000
7000 6999 2332 1 1.19330800000000004
8000 7999 18 1 0.00509200000000000
8000 7999 18 1 0.00440800000000000
7000 6999 2332 1 1.28229700000000002
7000 6999 2332 1 1.21067400000000003
7000 6999 2332 1 1.25062999999999991
7000 6999 2332 1 1.35812500000000003
7000 6999 2332 1 1.32574100000000006
8500 8499 2833 2 0.44014799999999998
8500 8499 2833 2 0.33258100000000002
7000 6999 2332 1 1.49440200000000001
8500 8499 2833 2 1.25766299999999998
8500 8499 2832 1 1.75803500000000001
8500 8499 2832 1 2.38233300000000003
8500 8499 2832 1 2.56026800000000021
8500 8499 2832 1 2.45271499999999998
8500 8499 2832 1 2.93016699999999997
9500 9499 6 1 0.00825800000000000
9500 9499 22 1 0.00941700000000000
9500 9499 22 1 0.01939900000000000
9500 9499 6 1 0.00212000000000000
9500 9499 6 1 0.01209700000000000
9500 9499 22 1 0.00541300000000000
8500 8499 2832 1 3.04728399999999988
9500 9499 6 1 0.00215700000000000
9500 9499 6 1 0.00206000000000000
9500 9499 6 1 0.00225600000000000
9500 9499 22 1 0.00531000000000000
10000 9999 10 1 0.00315900000000000
8500 8499 2832 1 3.37209100000000017
10000 9999 8 1 0.00248300000000000
10000 9999 8 1 0.00254200000000000
10000 9999 32 1 0.01452100000000000
10000 9999 8 1 0.01311000000000000
10000 9999 8 1 0.00431200000000000
7500 7499 7498 1 5.16106100000000012
10000 9999 8 1 0.00266200000000000
7500 7499 7498 1 5.67817200000000000
7500 7499 7498 1 5.59335000000000004
10000 9999 908 1 0.84201300000000001
7500 7499 7498 1 5.90452900000000014
7500 7499 7498 1 5.91549100000000028
7500 7499 7498 1 5.96213000000000015
7500 7499 7498 1 5.65484100000000023
10000 9999 3333 2 1.23849300000000007
7500 7499 7498 1 5.66419799999999984
7500 7499 7498 1 5.89895100000000028
7500 7499 7498 1 5.96917000000000009
10000 9999 3333 2 1.72050199999999998
8000 7999 7998 1 6.50235599999999980
9000 8999 8998 1 8.12565099999999951
9000 8999 8998 1 8.29190000000000005
9000 8999 8998 1 8.28645700000000041
9000 8999 8998 1 8.38554300000000019
9000 8999 8998 1 7.21455300000000044
9000 8999 8998 1 8.23404099999999950
9000 8999 8998 1 9.39756200000000064
9000 8999 8998 1 8.06155700000000053
9000 8999 8998 1 7.61568299999999976
9000 8999 8998 1 7.67666999999999966
